t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788706355.668319,2.0,620.0,8188.0,56.0
1788706355.868692,1.0,620.0,8188.0,56.0
1788706356.068847,1.0,620.0,8188.0,56.0
1788706356.269046,1.0,620.0,8188.0,56.0
1788706356.469241,1.0,620.0,8188.0,56.0
1788706356.669440,1.0,620.0,8188.0,56.0
1788706356.869640,1.0,620.0,8188.0,56.0
1788706357.069701,1.0,620.0,8188.0,56.0
1788706357.269900,1.0,620.0,8188.0,56.0
1788706357.470093,1.0,622.0,8188.0,56.0
1788706357.670289,1.0,620.0,8188.0,56.0
1788706357.870806,2.0,620.0,8188.0,56.0
1788706358.070979,2.0,622.0,8188.0,56.0
1788706358.271175,2.0,620.0,8188.0,56.0
1788706358.471375,2.0,622.0,8188.0,56.0
1788706358.671575,2.0,620.0,8188.0,56.0
1788706358.871688,1.0,622.0,8188.0,57.0
1788706359.071885,1.0,620.0,8188.0,57.0
1788706359.272076,1.0,622.0,8188.0,57.0
1788706359.472275,1.0,620.0,8188.0,57.0
1788706359.672305,1.0,622.0,8188.0,57.0
1788706359.872497,2.0,620.0,8188.0,57.0
1788706360.072691,2.0,622.0,8188.0,57.0
1788706360.272885,2.0,620.0,8188.0,57.0
1788706360.473080,2.0,620.0,8188.0,57.0
1788706360.673274,2.0,620.0,8188.0,57.0
1788706360.873467,2.0,620.0,8188.0,57.0
1788706361.073685,2.0,620.0,8188.0,57.0
1788706361.273877,2.0,620.0,8188.0,57.0
1788706361.474072,2.0,620.0,8188.0,57.0
1788706361.674273,2.0,620.0,8188.0,57.0
1788706361.874472,2.0,622.0,8188.0,57.0
1788706362.074673,2.0,620.0,8188.0,57.0
1788706362.274867,2.0,622.0,8188.0,57.0
1788706362.475062,2.0,620.0,8188.0,57.0
1788706362.675258,2.0,620.0,8188.0,57.0
1788706362.875454,2.0,620.0,8188.0,57.0
1788706363.075649,2.0,620.0,8188.0,57.0
1788706363.275702,2.0,620.0,8188.0,57.0
1788706363.475899,2.0,620.0,8188.0,57.0
1788706363.676096,2.0,620.0,8188.0,57.0
1788706363.876293,1.0,620.0,8188.0,57.0
1788706364.076492,1.0,620.0,8188.0,57.0
1788706364.276698,1.0,620.0,8188.0,57.0
1788706364.476892,1.0,620.0,8188.0,57.0
1788706364.677088,1.0,620.0,8188.0,57.0
1788706364.877283,2.0,620.0,8188.0,57.0
1788706365.077477,2.0,620.0,8188.0,57.0
1788706365.277680,2.0,620.0,8188.0,57.0
1788706365.477880,2.0,620.0,8188.0,57.0
1788706365.678078,2.0,620.0,8188.0,57.0
1788706365.878272,2.0,620.0,8188.0,57.0
1788706366.078475,2.0,620.0,8188.0,57.0
1788706366.278669,2.0,686.0,8188.0,57.0
1788706366.478699,2.0,786.0,8188.0,57.0
1788706366.678892,2.0,786.0,8188.0,57.0
1788706366.879091,2.0,786.0,8188.0,57.0
1788706367.079280,2.0,786.0,8188.0,57.0
1788706367.279476,2.0,786.0,8188.0,57.0
1788706367.479671,2.0,786.0,8188.0,57.0
1788706367.679876,2.0,786.0,8188.0,57.0
1788706367.880071,4.0,786.0,8188.0,57.0
1788706368.080263,4.0,786.0,8188.0,57.0
1788706368.280697,4.0,786.0,8188.0,57.0
1788706368.480870,4.0,786.0,8188.0,57.0
1788706368.681060,4.0,786.0,8188.0,57.0
1788706368.881254,3.0,786.0,8188.0,57.0
1788706369.081443,3.0,786.0,8188.0,57.0
1788706369.281639,3.0,786.0,8188.0,57.0
1788706369.481758,3.0,786.0,8188.0,57.0
1788706369.681953,3.0,786.0,8188.0,57.0
1788706369.882151,2.0,786.0,8188.0,57.0
1788706370.082342,2.0,786.0,8188.0,57.0
1788706370.282545,2.0,786.0,8188.0,57.0
1788706370.482692,2.0,786.0,8188.0,57.0
1788706370.682889,2.0,786.0,8188.0,57.0
1788706370.883088,1.0,786.0,8188.0,58.0
1788706371.083283,1.0,786.0,8188.0,58.0
1788706371.283478,1.0,786.0,8188.0,57.0
1788706371.483672,1.0,786.0,8188.0,57.0
1788706371.683877,1.0,786.0,8188.0,57.0
1788706371.884071,2.0,786.0,8188.0,58.0
1788706372.084268,2.0,786.0,8188.0,58.0
1788706372.284467,2.0,786.0,8188.0,58.0
1788706372.484664,2.0,786.0,8188.0,58.0
1788706372.684697,2.0,786.0,8188.0,58.0
1788706372.884894,2.0,786.0,8188.0,58.0
1788706373.085093,2.0,786.0,8188.0,58.0
1788706373.285295,2.0,786.0,8188.0,58.0
1788706373.485485,2.0,786.0,8188.0,58.0
1788706373.685684,2.0,786.0,8188.0,58.0
1788706373.885883,2.0,786.0,8188.0,58.0
1788706374.086077,2.0,786.0,8188.0,58.0
1788706374.286275,2.0,786.0,8188.0,58.0
1788706374.486468,2.0,786.0,8188.0,58.0
1788706374.686662,2.0,786.0,8188.0,58.0
1788706374.886866,2.0,786.0,8188.0,58.0
1788706375.087059,2.0,788.0,8188.0,58.0
1788706375.287271,2.0,786.0,8188.0,58.0
1788706375.487463,2.0,786.0,8188.0,58.0
1788706375.687660,2.0,786.0,8188.0,58.0
1788706375.887698,2.0,786.0,8188.0,58.0
1788706376.087895,2.0,786.0,8188.0,58.0
1788706376.288086,2.0,786.0,8188.0,58.0
1788706376.488280,2.0,786.0,8188.0,58.0
1788706376.688476,2.0,786.0,8188.0,58.0
1788706376.888670,1.0,786.0,8188.0,58.0
1788706377.088692,1.0,786.0,8188.0,58.0
1788706377.288885,1.0,786.0,8188.0,58.0
1788706377.489079,1.0,786.0,8188.0,58.0
1788706377.689277,1.0,786.0,8188.0,58.0
1788706377.889472,3.0,788.0,8188.0,58.0
1788706378.089670,3.0,786.0,8188.0,58.0
1788706378.289692,3.0,786.0,8188.0,58.0
1788706378.489905,3.0,786.0,8188.0,58.0
1788706378.690105,3.0,788.0,8188.0,58.0
1788706378.890301,3.0,786.0,8188.0,58.0
1788706379.090497,3.0,786.0,8188.0,58.0
1788706379.290695,3.0,786.0,8188.0,58.0
1788706379.490890,3.0,786.0,8188.0,58.0
