t_wall,t_sim,exp_id,gt_x,gt_y,gt_z,gt_dyaw_deg,vslam_x,vslam_y,vslam_z,vslam_dyaw_deg,pos_error_m,yaw_error_deg,vo_state,feature_count,msg_age_s
1788706517.572875,45.708000,frame_check_r2,-0.0012843813747167587,0.006483664968982339,-0.004037678241729736,-0.0020031438595339113,0.0,0.0,0.0,0.0,0.007745346508030858,0.0020031438595339113,,,1788706471.8648493
1788706517.616671,45.740000,frame_check_r2,-0.0012496374547481537,0.006592164048925042,-0.004199087619781494,-0.0030415912622059086,0.0,0.0,0.0,0.0,0.007915210512352243,0.003041591262205908,1,380,1788706471.8766496
1788706517.660739,45.772000,frame_check_r2,-0.0011775754392147064,0.006687339628115296,-0.0043627917766571045,-0.0022489475213309227,0.0,0.0,0.0,0.0,0.008071006585505292,0.0022489475213309227,1,380,1788706471.888717
1788706517.705925,45.808000,frame_check_r2,-0.0011011790484189987,0.0067093458492308855,-0.004513353109359741,-0.0035199158880591143,0.0,0.0,0.0,0.0,0.008160776513974385,0.0035199158880591143,1,380,1788706471.897901
1788706517.748702,45.840000,frame_check_r2,-0.0010383110493421555,0.006691464455798268,-0.0046080052852630615,-0.003813607438573764,0.0,0.0,0.0,0.0,0.0081906958866393,0.003813607438573764,1,380,1788706471.9086826
1788706517.793012,45.872000,frame_check_r2,-0.0009072050452232361,0.006608496652916074,-0.004780203104019165,-0.00417934715576158,0.0,0.0,0.0,0.0,0.008206435932934339,0.00417934715576158,1,380,1788706471.9209945
1788706517.838488,45.904000,frame_check_r2,-0.0007329657673835754,0.006454552290961146,-0.004996359348297119,-0.005378777682928556,0.0,0.0,0.0,0.0,0.00819524806398342,0.005378777682928556,1,380,1788706471.9344695
1788706517.882993,45.940000,frame_check_r2,-0.0004757549613714218,0.006280482513830066,-0.005273163318634033,-0.006263549687841512,0.0,0.0,0.0,0.0,0.008214441841950202,0.006263549687841512,1,380,1788706471.942974
1788706517.931018,45.972000,frame_check_r2,-3.0526891350746155e-05,0.006089492468163371,-0.005689501762390137,-0.006335237886810134,0.0,0.0,0.0,0.0,0.008333863492711795,0.006335237886810134,1,380,1788706471.9589965
1788706517.974981,46.004000,frame_check_r2,0.0003931540995836258,0.00592143670655787,-0.0061051249504089355,-0.007465881681572288,0.0,0.0,0.0,0.0,0.008514137271379646,0.007465881681572288,1,380,1788706471.9709566
1788706518.017802,46.036000,frame_check_r2,0.000711001455783844,0.005760477622970939,-0.006479620933532715,-0.008296106525611626,0.0,0.0,0.0,0.0,0.008699086903644028,0.008296106525611628,1,380,1788706471.9817839
1788706518.063290,46.072000,frame_check_r2,0.0012149699032306671,0.0054548794869333506,-0.007150113582611084,-0.009334376562405544,0.0,0.0,0.0,0.0,0.009075019907799768,0.009334376562405544,1,380,1788706471.991257
1788706518.107238,46.104000,frame_check_r2,0.0016389600932598114,0.005210882285609841,-0.007670193910598755,-0.009932473384248193,0.0,0.0,0.0,0.0,0.009416547085209465,0.009932473384248193,1,380,1788706472.0032146
1788706518.151856,46.136000,frame_check_r2,0.0020614732056856155,0.004974784096702933,-0.00821337103843689,-0.011025677905835873,0.0,0.0,0.0,0.0,0.009821283643271995,0.011025677905835873,1,380,1788706472.0158374
1788706518.196715,46.168000,frame_check_r2,0.002560492604970932,0.004658728139474988,-0.009053528308868408,-0.011281847246272817,0.0,0.0,0.0,0.0,0.010498868753209965,0.01128184724627282,1,380,1788706472.0286894
1788706518.240938,46.204000,frame_check_r2,0.0029403287917375565,0.0043238678481429815,-0.00984916090965271,-0.011729467112215815,0.0,0.0,0.0,0.0,0.011151113719981356,0.011729467112215815,1,380,1788706472.0369215
1788706518.286642,46.236000,frame_check_r2,0.0032291077077388763,0.003990301163867116,-0.010480627417564392,-0.011948080978235822,0.0,0.0,0.0,0.0,0.011670183847409617,0.011948080978235822,1,380,1788706472.0506265
1788706518.331182,46.268000,frame_check_r2,0.003602556884288788,0.0034529732074588537,-0.011350557208061218,-0.011278096211288795,0.0,0.0,0.0,0.0,0.012399055972509992,0.011278096211288793,1,380,1788706472.0631666
1788706518.378123,46.300000,frame_check_r2,0.003999641165137291,0.002681767800822854,-0.012426197528839111,-0.011315230062595646,0.0,0.0,0.0,0.0,0.013326642225749075,0.011315230062595646,1,380,1788706472.0780988
1788706518.425792,46.336000,frame_check_r2,0.004273073747754097,0.002034352160990238,-0.013275861740112305,-0.01194074744812173,0.0,0.0,0.0,0.0,0.014094192169516087,0.01194074744812173,1,380,1788706472.0897703
1788706518.494015,46.368000,frame_check_r2,0.004514690488576889,0.0013952150475233793,-0.014157652854919434,-0.011745945229629906,0.0,0.0,0.0,0.0,0.014925420918583525,0.011745945229629906,1,380,1788706472.1259997
1788706518.578592,46.400000,frame_check_r2,0.0047275610268116,0.0007931462023407221,-0.015075966715812683,-0.01258279282465048,0.0,0.0,0.0,0.0,0.015819724604960964,0.01258279282465048,1,380,1788706472.178571
1788706518.621572,46.432000,frame_check_r2,0.00492524728178978,0.00023100117687135935,-0.015982195734977722,-0.01251098508652598,0.0,0.0,0.0,0.0,0.016725489614406917,0.012510985086525981,1,380,1788706472.189549
1788706518.667134,46.468000,frame_check_r2,0.005123235285282135,-0.0003170727286487818,-0.016876384615898132,-0.013901604774932224,0.0,0.0,0.0,0.0,0.017639740151355287,0.013901604774932222,1,380,1788706472.1991134
1788706518.714081,46.500000,frame_check_r2,0.0053154174238443375,-0.0008715093717910349,-0.017734453082084656,-0.014249828473465492,0.0,0.0,0.0,0.0,0.01853440091007771,0.014249828473465492,1,380,1788706472.214063
1788706518.760329,46.532000,frame_check_r2,0.005497688427567482,-0.0015344228158937767,-0.01883438229560852,-0.014622365161171168,0.0,0.0,0.0,0.0,0.019680268999220426,0.014622365161171168,1,380,1788706472.2283075
1788706518.805949,46.564000,frame_check_r2,0.005599968135356903,-0.0019829710363410413,-0.019741296768188477,-0.01554500801630259,0.0,0.0,0.0,0.0,0.020615785586236314,0.015545008016302594,1,380,1788706472.241931
1788706518.852354,46.600000,frame_check_r2,0.005670744925737381,-0.0022674864740110934,-0.020408019423484802,-0.01595514977696895,0.0,0.0,0.0,0.0,0.021302255742337066,0.01595514977696895,1,380,1788706472.2523344
1788706518.895471,46.632000,frame_check_r2,0.0058065615594387054,-0.002663846593350172,-0.021568670868873596,-0.015248124995383968,0.0,0.0,0.0,0.0,0.022494883837580738,0.015248124995383968,1,380,1788706472.2634485
1788706518.939294,46.664000,frame_check_r2,0.005950253456830978,-0.0029499969677999616,-0.022506117820739746,-0.014926810652531784,0.0,0.0,0.0,0.0,0.023465577718683534,0.014926810652531784,1,380,1788706472.2752764
1788706518.983349,46.696000,frame_check_r2,0.006139062345027924,-0.003211026079952717,-0.023432791233062744,-0.01477327724523512,0.0,0.0,0.0,0.0,0.02443551677240689,0.01477327724523512,1,380,1788706472.287325
1788706519.028949,46.732000,frame_check_r2,0.006429329514503479,-0.0035235353279858828,-0.024599790573120117,-0.015473892566643437,0.0,0.0,0.0,0.0,0.02566907235283347,0.015473892566643437,1,380,1788706472.2969244
1788706519.073597,46.764000,frame_check_r2,0.006655234843492508,-0.0038045234978199005,-0.0255267471075058,-0.01622566706455755,0.0,0.0,0.0,0.0,0.02665298046669558,0.01622566706455755,1,380,1788706472.3095744
1788706519.122065,46.796000,frame_check_r2,0.0067816488444805145,-0.004049340728670359,-0.026170015335083008,-0.01638989002478629,0.0,0.0,0.0,0.0,0.027336013316231617,0.01638989002478629,1,380,1788706472.326046
1788706519.166476,46.828000,frame_check_r2,0.00692044198513031,-0.0045225187204778194,-0.027245134115219116,-0.016502345089047365,0.0,0.0,0.0,0.0,0.028471793512227207,0.016502345089047365,1,380,1788706472.3384607
1788706519.210984,46.864000,frame_check_r2,0.006969515234231949,-0.004934554221108556,-0.028113707900047302,-0.015484209726930733,0.0,0.0,0.0,0.0,0.02938204451447233,0.015484209726930733,1,380,1788706472.3469546
1788706519.254526,46.896000,frame_check_r2,0.006976310163736343,-0.00538314669393003,-0.02895525097846985,-0.015443000327573866,0.0,0.0,0.0,0.0,0.03026637954984375,0.015443000327573862,1,380,1788706472.3584998
1788706519.299187,46.928000,frame_check_r2,0.006983574479818344,-0.005828317953273654,-0.029756799340248108,-0.014859102701524955,0.0,0.0,0.0,0.0,0.031116020144861267,0.014859102701524955,1,380,1788706472.371168
1788706519.342594,46.960000,frame_check_r2,0.006996743381023407,-0.006355757592245936,-0.03076358139514923,-0.014144843055668512,0.0,0.0,0.0,0.0,0.03218303920960944,0.014144843055668512,1,380,1788706472.382572
1788706519.386251,46.996000,frame_check_r2,0.006974279880523682,-0.0066528047900646925,-0.03143340349197388,-0.015033509787789211,0.0,0.0,0.0,0.0,0.03287794468204819,0.015033509787789211,1,380,1788706472.3902328
1788706519.431840,47.028000,frame_check_r2,0.006900951266288757,-0.007041416363790631,-0.032352641224861145,-0.014677881007661469,0.0,0.0,0.0,0.0,0.033821562161031764,0.014677881007661469,1,380,1788706472.403818
1788706519.475031,47.060000,frame_check_r2,0.006811652332544327,-0.007444392656907439,-0.03328637778759003,-0.014189691773671862,0.0,0.0,0.0,0.0,0.034782187046645596,0.014189691773671862,1,380,1788706472.4150136
1788706519.520209,47.092000,frame_check_r2,0.006696593016386032,-0.008010313147678971,-0.03442271053791046,-0.014773549157254115,0.0,0.0,0.0,0.0,0.03597127292059263,0.014773549157254115,1,380,1788706472.4281907
1788706519.565386,47.128000,frame_check_r2,0.006600037217140198,-0.008534390246495605,-0.03530377149581909,-0.015505212051297927,0.0,0.0,0.0,0.0,0.036915479002393066,0.015505212051297927,1,380,1788706472.4373653
1788706519.607559,47.160000,frame_check_r2,0.006526801735162735,-0.008971343515440822,-0.03590509295463562,-0.015122636099349928,0.0,0.0,0.0,0.0,0.03758004584141948,0.015122636099349928,1,380,1788706472.447541
1788706519.652001,47.192000,frame_check_r2,0.006389133632183075,-0.009729280835017562,-0.036765873432159424,-0.014357330992559076,0.0,0.0,0.0,0.0,0.038564353791631194,0.014357330992559076,1,380,1788706472.459984
1788706519.701324,47.224000,frame_check_r2,0.006192829459905624,-0.010366597911342978,-0.037268638610839844,-0.014254771179806535,0.0,0.0,0.0,0.0,0.03917612682336422,0.014254771179806535,1,380,1788706472.477303
1788706519.744354,47.260000,frame_check_r2,0.00589979812502861,-0.011045986553654075,-0.03761792182922363,-0.014183005914597742,0.0,0.0,0.0,0.0,0.03964756587243633,0.014183005914597742,1,380,1788706472.4843333
1788706519.788650,47.292000,frame_check_r2,0.005421394482254982,-0.012000428279861808,-0.03796297311782837,-0.014869988477590164,0.0,0.0,0.0,0.0,0.04018195023859956,0.014869988477590164,1,380,1788706472.496632
1788706519.834438,47.324000,frame_check_r2,0.004964049905538559,-0.012841632356867194,-0.03814348578453064,-0.01564604008167388,0.0,0.0,0.0,0.0,0.040552124739010986,0.01564604008167388,1,380,1788706472.510419
1788706519.878398,47.356000,frame_check_r2,0.0045895688235759735,-0.013463885290548205,-0.038207799196243286,-0.01615525770287451,0.0,0.0,0.0,0.0,0.04076979603240406,0.01615525770287451,1,380,1788706472.5223677
1788706519.922652,47.392000,frame_check_r2,0.003938712179660797,-0.014478366589173675,-0.03827133774757385,-0.01694854523092907,0.0,0.0,0.0,0.0,0.04110756433691468,0.01694854523092907,1,380,1788706472.5306306
1788706519.968821,47.424000,frame_check_r2,0.0034403111785650253,-0.015280186897143722,-0.03821130096912384,-0.01797381354407017,0.0,0.0,0.0,0.0,0.041296771960650465,0.017973813544070173,1,380,1788706472.5447996
