t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788525814.935584,2.0,620.0,8188.0,57.0
1788525815.135784,1.0,620.0,8188.0,57.0
1788525815.335968,1.0,620.0,8188.0,57.0
1788525815.536163,1.0,620.0,8188.0,57.0
1788525815.736356,1.0,620.0,8188.0,57.0
1788525815.936459,1.0,620.0,8188.0,57.0
1788525816.136652,1.0,620.0,8188.0,57.0
1788525816.336847,1.0,622.0,8188.0,57.0
1788525816.537046,1.0,620.0,8188.0,57.0
1788525816.737243,1.0,622.0,8188.0,57.0
1788525816.937471,1.0,620.0,8188.0,57.0
1788525817.137665,1.0,620.0,8188.0,57.0
1788525817.337847,1.0,620.0,8188.0,57.0
1788525817.538040,1.0,622.0,8188.0,58.0
1788525817.738240,1.0,620.0,8188.0,58.0
1788525817.938440,1.0,620.0,8188.0,58.0
1788525818.138641,2.0,620.0,8188.0,58.0
1788525818.338833,2.0,620.0,8188.0,58.0
1788525818.539032,2.0,620.0,8188.0,57.0
1788525818.739228,2.0,620.0,8188.0,57.0
1788525818.939458,2.0,620.0,8188.0,57.0
1788525819.139687,2.0,622.0,8188.0,58.0
1788525819.339885,2.0,620.0,8188.0,58.0
1788525819.540083,2.0,620.0,8188.0,58.0
1788525819.740290,2.0,620.0,8188.0,58.0
1788525819.940455,2.0,620.0,8188.0,58.0
1788525820.140652,2.0,620.0,8188.0,58.0
1788525820.340847,2.0,620.0,8188.0,58.0
1788525820.541045,2.0,620.0,8188.0,58.0
1788525820.741235,2.0,620.0,8188.0,58.0
1788525820.941432,2.0,620.0,8188.0,58.0
1788525821.141634,2.0,620.0,8188.0,58.0
1788525821.341832,2.0,622.0,8188.0,58.0
1788525821.542043,2.0,620.0,8188.0,58.0
1788525821.742236,2.0,620.0,8188.0,58.0
1788525821.942475,2.0,620.0,8188.0,58.0
1788525822.142674,1.0,620.0,8188.0,58.0
1788525822.342872,1.0,620.0,8188.0,58.0
1788525822.543067,1.0,620.0,8188.0,58.0
1788525822.743281,1.0,620.0,8188.0,58.0
1788525822.943454,1.0,620.0,8188.0,58.0
1788525823.143647,2.0,620.0,8188.0,58.0
1788525823.343843,2.0,620.0,8188.0,58.0
1788525823.544047,2.0,620.0,8188.0,58.0
1788525823.744246,2.0,622.0,8188.0,58.0
1788525823.944455,2.0,620.0,8188.0,58.0
1788525824.144666,1.0,620.0,8188.0,58.0
1788525824.344872,1.0,620.0,8188.0,58.0
1788525824.545066,1.0,620.0,8188.0,58.0
1788525824.745266,1.0,620.0,8188.0,58.0
1788525824.945452,1.0,620.0,8188.0,58.0
1788525825.145648,2.0,620.0,8188.0,58.0
1788525825.345839,2.0,622.0,8188.0,58.0
1788525825.546041,2.0,620.0,8188.0,58.0
1788525825.746245,2.0,620.0,8188.0,58.0
1788525825.946445,2.0,620.0,8188.0,58.0
1788525826.146632,2.0,620.0,8188.0,58.0
1788525826.346828,2.0,622.0,8188.0,58.0
1788525826.547029,2.0,620.0,8188.0,58.0
1788525826.747226,2.0,620.0,8188.0,58.0
1788525826.947430,2.0,620.0,8188.0,58.0
1788525827.147455,2.0,620.0,8188.0,58.0
1788525827.347649,2.0,622.0,8188.0,58.0
1788525827.547858,2.0,620.0,8188.0,58.0
1788525827.748049,2.0,620.0,8188.0,58.0
