t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788525940.658799,2.0,722.0,8188.0,60.0
1788525940.859158,2.0,720.0,8188.0,60.0
1788525941.059334,2.0,720.0,8188.0,60.0
1788525941.259453,2.0,720.0,8188.0,60.0
1788525941.459645,2.0,720.0,8188.0,60.0
1788525941.659840,2.0,720.0,8188.0,60.0
1788525941.860033,2.0,720.0,8188.0,60.0
1788525942.060224,2.0,722.0,8188.0,60.0
1788525942.260421,2.0,720.0,8188.0,60.0
1788525942.460450,2.0,720.0,8188.0,60.0
1788525942.660652,2.0,720.0,8188.0,60.0
1788525942.860844,2.0,722.0,8188.0,60.0
1788525943.061023,1.0,720.0,8188.0,60.0
1788525943.261072,1.0,720.0,8188.0,60.0
1788525943.461271,1.0,720.0,8188.0,60.0
1788525943.661449,1.0,720.0,8188.0,60.0
1788525943.861643,1.0,720.0,8188.0,60.0
1788525944.061841,2.0,720.0,8188.0,60.0
1788525944.262037,2.0,720.0,8188.0,60.0
1788525944.462232,2.0,720.0,8188.0,60.0
1788525944.662422,2.0,720.0,8188.0,61.0
1788525944.862449,2.0,722.0,8188.0,61.0
1788525945.062651,2.0,720.0,8188.0,60.0
1788525945.262843,2.0,720.0,8188.0,60.0
1788525945.463068,2.0,720.0,8188.0,60.0
1788525945.663260,2.0,720.0,8188.0,61.0
1788525945.863456,2.0,720.0,8188.0,61.0
1788525946.063652,2.0,720.0,8188.0,61.0
1788525946.263844,2.0,720.0,8188.0,61.0
1788525946.464038,2.0,722.0,8188.0,61.0
1788525946.664233,2.0,720.0,8188.0,61.0
1788525946.864425,2.0,722.0,8188.0,61.0
1788525947.064459,2.0,720.0,8188.0,61.0
1788525947.264653,2.0,720.0,8188.0,61.0
1788525947.464845,2.0,722.0,8188.0,61.0
1788525947.665042,2.0,720.0,8188.0,61.0
1788525947.865233,2.0,720.0,8188.0,61.0
1788525948.065411,2.0,720.0,8188.0,61.0
1788525948.265447,2.0,720.0,8188.0,61.0
1788525948.465640,2.0,720.0,8188.0,61.0
1788525948.665850,2.0,720.0,8188.0,61.0
1788525948.866043,2.0,720.0,8188.0,61.0
1788525949.066238,2.0,720.0,8188.0,61.0
1788525949.266430,2.0,720.0,8188.0,61.0
1788525949.466453,2.0,720.0,8188.0,61.0
1788525949.666645,2.0,720.0,8188.0,61.0
1788525949.866838,2.0,720.0,8188.0,61.0
1788525950.067036,2.0,720.0,8188.0,61.0
1788525950.267234,2.0,720.0,8188.0,61.0
1788525950.467431,2.0,722.0,8188.0,61.0
1788525950.667622,2.0,720.0,8188.0,61.0
1788525950.867818,2.0,720.0,8188.0,61.0
1788525951.068011,3.0,720.0,8188.0,61.0
1788525951.268208,3.0,722.0,8188.0,61.0
1788525951.468406,3.0,786.0,8188.0,61.0
1788525951.668454,3.0,786.0,8188.0,61.0
1788525951.868645,3.0,786.0,8188.0,61.0
1788525952.068838,2.0,786.0,8188.0,61.0
1788525952.269032,2.0,786.0,8188.0,61.0
1788525952.469232,2.0,786.0,8188.0,61.0
1788525952.669423,2.0,786.0,8188.0,61.0
1788525952.869448,2.0,786.0,8188.0,61.0
1788525953.069641,2.0,786.0,8188.0,61.0
1788525953.269839,2.0,786.0,8188.0,61.0
1788525953.470034,2.0,786.0,8188.0,61.0
1788525953.670228,2.0,786.0,8188.0,61.0
1788525953.870422,2.0,786.0,8188.0,61.0
1788525954.070450,4.0,786.0,8188.0,61.0
1788525954.270642,4.0,786.0,8188.0,61.0
1788525954.470835,4.0,786.0,8188.0,61.0
1788525954.671027,4.0,786.0,8188.0,61.0
1788525954.871228,4.0,786.0,8188.0,61.0
1788525955.071423,2.0,786.0,8188.0,61.0
1788525955.271454,2.0,786.0,8188.0,61.0
1788525955.471656,2.0,786.0,8188.0,61.0
1788525955.671849,2.0,786.0,8188.0,61.0
1788525955.872045,2.0,786.0,8188.0,61.0
1788525956.072243,4.0,786.0,8188.0,61.0
1788525956.272449,4.0,788.0,8188.0,61.0
1788525956.472648,4.0,786.0,8188.0,61.0
1788525956.672841,4.0,786.0,8188.0,61.0
1788525956.873036,4.0,788.0,8188.0,61.0
1788525957.073152,2.0,786.0,8188.0,61.0
1788525957.273351,2.0,786.0,8188.0,61.0
1788525957.473452,2.0,788.0,8188.0,61.0
1788525957.673647,2.0,786.0,8188.0,61.0
1788525957.873844,2.0,786.0,8188.0,61.0
1788525958.074036,3.0,786.0,8188.0,61.0
1788525958.274247,3.0,786.0,8188.0,61.0
1788525958.474446,3.0,786.0,8188.0,61.0
1788525958.674641,3.0,788.0,8188.0,61.0
1788525958.874838,3.0,786.0,8188.0,61.0
1788525959.075031,2.0,786.0,8188.0,61.0
1788525959.275226,2.0,786.0,8188.0,61.0
1788525959.475419,2.0,786.0,8188.0,61.0
1788525959.675454,2.0,786.0,8188.0,61.0
1788525959.875648,2.0,786.0,8188.0,61.0
1788525960.075851,3.0,786.0,8188.0,61.0
1788525960.276045,3.0,786.0,8188.0,61.0
1788525960.476244,3.0,786.0,8188.0,61.0
1788525960.676445,3.0,788.0,8188.0,61.0
1788525960.876641,3.0,786.0,8188.0,61.0
1788525961.076835,2.0,786.0,8188.0,61.0
1788525961.277030,2.0,786.0,8188.0,61.0
1788525961.477226,2.0,786.0,8188.0,61.0
1788525961.677426,2.0,786.0,8188.0,61.0
1788525961.877455,2.0,786.0,8188.0,61.0
1788525962.077648,3.0,786.0,8188.0,61.0
1788525962.277848,3.0,786.0,8188.0,61.0
1788525962.478042,3.0,786.0,8188.0,61.0
1788525962.678234,3.0,786.0,8188.0,61.0
1788525962.878429,3.0,786.0,8188.0,61.0
1788525963.078460,4.0,786.0,8188.0,61.0
1788525963.278705,4.0,786.0,8188.0,61.0
1788525963.478905,4.0,786.0,8188.0,61.0
1788525963.679100,4.0,786.0,8188.0,61.0
1788525963.879294,4.0,786.0,8188.0,61.0
1788525964.079453,4.0,786.0,8188.0,61.0
1788525964.279647,4.0,786.0,8188.0,61.0
1788525964.479843,4.0,786.0,8188.0,61.0
1788525964.680042,4.0,786.0,8188.0,61.0
1788525964.880238,4.0,788.0,8188.0,61.0
1788525965.080440,3.0,786.0,8188.0,61.0
1788525965.280633,3.0,946.0,8188.0,61.0
1788525965.480830,3.0,948.0,8188.0,61.0
1788525965.681033,3.0,946.0,8188.0,61.0
1788525965.881230,3.0,946.0,8188.0,61.0
1788525966.081424,3.0,946.0,8188.0,61.0
1788525966.281451,3.0,946.0,8188.0,61.0
1788525966.481645,3.0,946.0,8188.0,61.0
1788525966.681839,3.0,946.0,8188.0,61.0
1788525966.882036,3.0,946.0,8188.0,61.0
1788525967.082232,9.0,946.0,8188.0,61.0
1788525967.282427,9.0,946.0,8188.0,61.0
1788525967.482459,9.0,948.0,8188.0,61.0
1788525967.682659,9.0,946.0,8188.0,61.0
1788525967.882852,9.0,946.0,8188.0,61.0
1788525968.083046,12.0,946.0,8188.0,61.0
1788525968.283243,12.0,946.0,8188.0,61.0
1788525968.483440,12.0,948.0,8188.0,61.0
1788525968.683653,12.0,948.0,8188.0,61.0
1788525968.883847,12.0,946.0,8188.0,61.0
1788525969.083957,2.0,946.0,8188.0,61.0
1788525969.284156,2.0,946.0,8188.0,61.0
1788525969.484351,2.0,948.0,8188.0,61.0
1788525969.684451,2.0,948.0,8188.0,61.0
1788525969.884644,2.0,948.0,8188.0,61.0
1788525970.084837,5.0,946.0,8188.0,61.0
1788525970.285033,5.0,946.0,8188.0,61.0
1788525970.485227,5.0,946.0,8188.0,61.0
1788525970.685425,5.0,946.0,8188.0,61.0
1788525970.885455,5.0,946.0,8188.0,61.0
1788525971.085650,2.0,950.0,8188.0,61.0
1788525971.285842,2.0,950.0,8188.0,61.0
1788525971.486043,2.0,950.0,8188.0,61.0
1788525971.686253,2.0,950.0,8188.0,61.0
1788525971.886453,2.0,950.0,8188.0,61.0
1788525972.086651,2.0,950.0,8188.0,61.0
1788525972.286844,2.0,950.0,8188.0,61.0
1788525972.487039,2.0,950.0,8188.0,61.0
1788525972.687239,2.0,950.0,8188.0,61.0
1788525972.887430,2.0,950.0,8188.0,61.0
1788525973.087452,2.0,950.0,8188.0,61.0
1788525973.287651,2.0,950.0,8188.0,61.0
1788525973.487846,2.0,950.0,8188.0,61.0
1788525973.688047,2.0,950.0,8188.0,61.0
1788525973.888259,2.0,950.0,8188.0,61.0
1788525974.088449,4.0,950.0,8188.0,61.0
1788525974.288643,4.0,950.0,8188.0,61.0
1788525974.488837,4.0,950.0,8188.0,61.0
1788525974.689032,4.0,950.0,8188.0,61.0
1788525974.889229,4.0,950.0,8188.0,61.0
1788525975.089423,2.0,950.0,8188.0,61.0
1788525975.289458,2.0,950.0,8188.0,61.0
1788525975.489658,2.0,950.0,8188.0,61.0
1788525975.689856,2.0,950.0,8188.0,61.0
1788525975.890070,2.0,950.0,8188.0,61.0
1788525976.090263,2.0,950.0,8188.0,61.0
1788525976.290448,2.0,950.0,8188.0,61.0
1788525976.490649,2.0,950.0,8188.0,61.0
1788525976.690845,2.0,950.0,8188.0,61.0
1788525976.891040,2.0,950.0,8188.0,61.0
1788525977.091234,2.0,950.0,8188.0,61.0
1788525977.291431,2.0,950.0,8188.0,61.0
1788525977.491460,2.0,950.0,8188.0,61.0
1788525977.691653,2.0,950.0,8188.0,61.0
1788525977.891850,2.0,950.0,8188.0,61.0
1788525978.092042,2.0,950.0,8188.0,61.0
1788525978.292237,2.0,950.0,8188.0,61.0
1788525978.492432,2.0,950.0,8188.0,61.0
1788525978.692624,2.0,950.0,8188.0,61.0
1788525978.892820,2.0,950.0,8188.0,61.0
1788525979.093014,2.0,950.0,8188.0,61.0
1788525979.293210,2.0,950.0,8188.0,61.0
1788525979.493403,2.0,950.0,8188.0,61.0
1788525979.693450,2.0,950.0,8188.0,61.0
1788525979.893654,2.0,950.0,8188.0,61.0
1788525980.093833,5.0,950.0,8188.0,61.0
1788525980.294028,5.0,950.0,8188.0,61.0
1788525980.494228,5.0,950.0,8188.0,61.0
1788525980.694441,5.0,950.0,8188.0,61.0
1788525980.894635,5.0,950.0,8188.0,61.0
1788525981.094709,1.0,950.0,8188.0,61.0
1788525981.294903,1.0,950.0,8188.0,61.0
1788525981.495101,1.0,950.0,8188.0,61.0
