t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788597158.754151,2.0,620.0,8188.0,64.0
1788597158.954346,2.0,620.0,8188.0,64.0
1788597159.154525,1.0,620.0,8188.0,64.0
1788597159.354700,1.0,622.0,8188.0,64.0
1788597159.554876,1.0,620.0,8188.0,64.0
1788597159.755070,1.0,620.0,8188.0,64.0
1788597159.955269,1.0,624.0,8188.0,64.0
1788597160.155463,32.0,1265.0,8188.0,64.0
1788597160.355656,32.0,1263.0,8188.0,64.0
1788597160.555859,32.0,1263.0,8188.0,64.0
1788597160.756069,32.0,1265.0,8188.0,75.0
1788597160.956844,32.0,1263.0,8188.0,75.0
1788597161.156929,100.0,1263.0,8188.0,75.0
1788597161.357125,100.0,1265.0,8188.0,75.0
1788597161.557318,100.0,1263.0,8188.0,75.0
1788597161.757513,100.0,1263.0,8188.0,77.0
1788597161.957704,100.0,1265.0,8188.0,77.0
1788597162.157875,100.0,1263.0,8188.0,76.0
1788597162.358067,100.0,1263.0,8188.0,76.0
1788597162.558266,100.0,1265.0,8188.0,76.0
1788597162.758461,100.0,1263.0,8188.0,77.0
1788597162.958656,100.0,1263.0,8188.0,77.0
1788597163.158847,100.0,1265.0,8188.0,77.0
1788597163.359051,100.0,1265.0,8188.0,77.0
1788597163.559257,100.0,1263.0,8188.0,77.0
1788597163.759454,100.0,1267.0,8188.0,77.0
1788597163.959651,100.0,1265.0,8188.0,77.0
1788597164.159842,100.0,1263.0,8188.0,77.0
1788597164.359872,100.0,1265.0,8188.0,77.0
1788597164.560073,100.0,1263.0,8188.0,77.0
1788597164.760275,100.0,1265.0,8188.0,77.0
1788597164.960469,100.0,1265.0,8188.0,77.0
1788597165.160665,100.0,1263.0,8188.0,78.0
1788597165.360868,100.0,1263.0,8188.0,78.0
1788597165.561068,100.0,1263.0,8188.0,78.0
1788597165.761259,100.0,1265.0,8188.0,78.0
1788597165.961461,100.0,1265.0,8188.0,78.0
1788597166.161655,100.0,1265.0,8188.0,78.0
1788597166.361845,100.0,1263.0,8188.0,78.0
1788597166.562044,100.0,1265.0,8188.0,78.0
1788597166.762235,100.0,1265.0,8188.0,78.0
1788597166.962439,100.0,1265.0,8188.0,78.0
1788597167.162633,100.0,1263.0,8188.0,78.0
1788597167.362826,100.0,1265.0,8188.0,78.0
1788597167.562876,100.0,1263.0,8188.0,78.0
1788597167.763072,100.0,1263.0,8188.0,79.0
1788597167.963268,100.0,1267.0,8188.0,79.0
1788597168.163460,100.0,1263.0,8188.0,78.0
1788597168.363654,100.0,1263.0,8188.0,78.0
1788597168.563845,100.0,1265.0,8188.0,78.0
1788597168.764050,100.0,1265.0,8188.0,78.0
1788597168.964244,100.0,1263.0,8188.0,78.0
1788597169.164436,100.0,1263.0,8188.0,79.0
1788597169.364629,100.0,1265.0,8188.0,79.0
1788597169.564831,100.0,1263.0,8188.0,79.0
1788597169.764866,100.0,1263.0,8188.0,79.0
1788597169.965056,100.0,1263.0,8188.0,79.0
1788597170.165251,100.0,1263.0,8188.0,79.0
1788597170.365444,100.0,1263.0,8188.0,79.0
1788597170.565635,100.0,1265.0,8188.0,79.0
1788597170.765826,100.0,1263.0,8188.0,80.0
1788597170.965877,100.0,1263.0,8188.0,80.0
1788597171.166073,100.0,1263.0,8188.0,79.0
1788597171.366264,100.0,1263.0,8188.0,79.0
1788597171.566350,100.0,1265.0,8188.0,79.0
1788597171.766548,100.0,1263.0,8188.0,80.0
1788597171.966742,100.0,1267.0,8188.0,80.0
1788597172.166867,100.0,1263.0,8188.0,80.0
1788597172.367059,100.0,1265.0,8188.0,80.0
1788597172.567253,100.0,1265.0,8188.0,80.0
1788597172.767446,100.0,1363.0,8188.0,80.0
1788597172.967639,100.0,1365.0,8188.0,80.0
1788597173.167829,100.0,1429.0,8188.0,80.0
1788597173.367870,100.0,1429.0,8188.0,80.0
1788597173.568062,100.0,1431.0,8188.0,80.0
1788597173.768258,100.0,1429.0,8188.0,80.0
1788597173.968451,100.0,1429.0,8188.0,80.0
1788597174.168644,100.0,1429.0,8188.0,80.0
1788597174.368836,100.0,1429.0,8188.0,80.0
1788597174.568882,100.0,1433.0,8188.0,80.0
1788597174.769075,100.0,1429.0,8188.0,80.0
1788597174.969270,100.0,1429.0,8188.0,80.0
1788597175.169464,100.0,1429.0,8188.0,80.0
1788597175.369658,100.0,1429.0,8188.0,80.0
1788597175.569852,100.0,1429.0,8188.0,80.0
1788597175.770049,100.0,1431.0,8188.0,80.0
1788597175.970251,100.0,1431.0,8188.0,80.0
1788597176.170443,100.0,1431.0,8188.0,81.0
1788597176.370637,100.0,1431.0,8188.0,81.0
1788597176.570831,100.0,1433.0,8188.0,81.0
1788597176.770870,100.0,1431.0,8188.0,80.0
1788597176.971069,100.0,1431.0,8188.0,80.0
1788597177.171261,100.0,1431.0,8188.0,81.0
1788597177.371451,100.0,1431.0,8188.0,81.0
1788597177.571642,100.0,1431.0,8188.0,81.0
1788597177.771833,100.0,1431.0,8188.0,81.0
1788597177.971871,100.0,1431.0,8188.0,81.0
1788597178.172068,100.0,1431.0,8188.0,81.0
1788597178.372261,100.0,1431.0,8188.0,81.0
1788597178.572461,100.0,1433.0,8188.0,81.0
1788597178.772652,100.0,1431.0,8188.0,81.0
1788597178.972842,100.0,1431.0,8188.0,81.0
1788597179.172866,100.0,1431.0,8188.0,82.0
1788597179.373061,100.0,1431.0,8188.0,82.0
1788597179.573252,100.0,1431.0,8188.0,82.0
1788597179.773462,100.0,1431.0,8188.0,81.0
1788597179.973659,100.0,1431.0,8188.0,81.0
1788597180.173874,100.0,1431.0,8188.0,82.0
1788597180.374076,100.0,1431.0,8188.0,82.0
1788597180.574275,100.0,1435.0,8188.0,82.0
1788597180.774467,100.0,1431.0,8188.0,82.0
1788597180.974662,100.0,1431.0,8188.0,82.0
1788597181.174863,100.0,1431.0,8188.0,82.0
1788597181.375060,100.0,1431.0,8188.0,82.0
1788597181.575252,100.0,1435.0,8188.0,82.0
1788597181.775455,100.0,1431.0,8188.0,82.0
1788597181.975646,100.0,1431.0,8188.0,82.0
1788597182.175847,100.0,1431.0,8188.0,82.0
1788597182.376046,100.0,1431.0,8188.0,82.0
1788597182.576238,100.0,1431.0,8188.0,82.0
1788597182.776435,100.0,1431.0,8188.0,82.0
1788597182.976627,100.0,1495.0,8188.0,82.0
1788597183.176822,100.0,1593.0,8188.0,82.0
