t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788593649.020355,1.0,626.0,8188.0,56.0
1788593649.220564,1.0,626.0,8188.0,56.0
1788593649.422763,1.0,626.0,8188.0,56.0
1788593649.622941,1.0,628.0,8188.0,56.0
1788593649.823149,1.0,626.0,8188.0,56.0
1788593650.023365,1.0,626.0,8188.0,56.0
1788593650.223588,1.0,626.0,8188.0,56.0
1788593650.423757,1.0,857.0,8188.0,56.0
1788593650.623967,76.0,895.0,8188.0,60.0
1788593650.824149,76.0,895.0,8188.0,60.0
1788593651.024296,76.0,893.0,8188.0,60.0
1788593651.224478,76.0,893.0,8188.0,60.0
1788593651.424671,76.0,893.0,8188.0,60.0
1788593651.624760,100.0,893.0,8188.0,59.0
1788593651.824956,100.0,893.0,8188.0,59.0
1788593652.025147,100.0,893.0,8188.0,59.0
1788593652.225337,100.0,895.0,8188.0,60.0
1788593652.425524,100.0,893.0,8188.0,60.0
1788593652.625713,100.0,893.0,8188.0,60.0
1788593652.825753,100.0,893.0,8188.0,60.0
1788593653.025948,100.0,893.0,8188.0,60.0
1788593653.226152,100.0,895.0,8188.0,60.0
1788593653.426345,100.0,893.0,8188.0,60.0
1788593653.626532,100.0,893.0,8188.0,60.0
1788593653.826759,100.0,895.0,8188.0,60.0
1788593654.026947,100.0,893.0,8188.0,60.0
1788593654.227142,100.0,893.0,8188.0,60.0
1788593654.427331,100.0,893.0,8188.0,60.0
1788593654.627458,100.0,893.0,8188.0,60.0
1788593654.827671,100.0,893.0,8188.0,60.0
1788593655.027789,100.0,893.0,8188.0,60.0
1788593655.227998,100.0,905.0,8188.0,60.0
1788593655.428202,100.0,893.0,8188.0,60.0
1788593655.628392,100.0,893.0,8188.0,60.0
1788593655.828582,100.0,893.0,8188.0,60.0
1788593656.028762,100.0,893.0,8188.0,60.0
1788593656.228952,100.0,893.0,8188.0,60.0
1788593656.429148,100.0,893.0,8188.0,60.0
1788593656.629336,100.0,893.0,8188.0,60.0
1788593656.829525,100.0,893.0,8188.0,60.0
1788593657.029717,100.0,897.0,8188.0,60.0
1788593657.229778,100.0,895.0,8188.0,60.0
1788593657.429971,100.0,893.0,8188.0,60.0
1788593657.630186,100.0,895.0,8188.0,60.0
1788593657.830377,100.0,893.0,8188.0,60.0
1788593658.030769,100.0,893.0,8188.0,60.0
1788593658.230961,100.0,893.0,8188.0,60.0
1788593658.431148,100.0,893.0,8188.0,60.0
1788593658.631341,100.0,893.0,8188.0,60.0
1788593658.831538,100.0,893.0,8188.0,60.0
1788593659.031735,100.0,895.0,8188.0,60.0
1788593659.231925,100.0,893.0,8188.0,60.0
1788593659.432118,100.0,893.0,8188.0,60.0
1788593659.632328,100.0,893.0,8188.0,61.0
1788593659.832550,100.0,895.0,8188.0,61.0
1788593660.032747,100.0,893.0,8188.0,61.0
1788593660.236412,100.0,893.0,8188.0,60.0
1788593660.436589,100.0,893.0,8188.0,60.0
1788593660.636760,100.0,893.0,8188.0,61.0
1788593660.836946,100.0,893.0,8188.0,61.0
1788593661.037135,100.0,893.0,8188.0,61.0
1788593661.237351,100.0,895.0,8188.0,61.0
1788593661.437560,100.0,893.0,8188.0,61.0
1788593661.637762,100.0,893.0,8188.0,61.0
1788593661.837951,100.0,893.0,8188.0,61.0
1788593662.038157,100.0,893.0,8188.0,61.0
1788593662.238347,100.0,895.0,8188.0,61.0
1788593662.438536,100.0,893.0,8188.0,61.0
1788593662.638724,100.0,893.0,8188.0,61.0
1788593662.838758,100.0,893.0,8188.0,61.0
1788593663.038951,100.0,897.0,8188.0,61.0
1788593663.239139,100.0,897.0,8188.0,61.0
1788593663.439328,100.0,893.0,8188.0,61.0
1788593663.639518,100.0,893.0,8188.0,61.0
1788593663.839717,100.0,893.0,8188.0,61.0
1788593664.039760,100.0,925.0,8188.0,61.0
1788593664.239949,100.0,957.0,8188.0,60.0
1788593664.440139,100.0,1057.0,8188.0,60.0
1788593664.640334,100.0,1059.0,8188.0,61.0
1788593664.840542,100.0,1059.0,8188.0,61.0
1788593665.040733,100.0,1061.0,8188.0,61.0
1788593665.240928,100.0,1057.0,8188.0,61.0
1788593665.441116,100.0,1057.0,8188.0,61.0
1788593665.641306,100.0,1057.0,8188.0,61.0
1788593665.841496,100.0,1057.0,8188.0,61.0
1788593666.041701,100.0,1059.0,8188.0,61.0
1788593666.241781,100.0,1057.0,8188.0,61.0
1788593666.441972,100.0,1057.0,8188.0,61.0
1788593666.642170,100.0,1057.0,8188.0,61.0
1788593666.842359,100.0,1057.0,8188.0,61.0
1788593667.042596,100.0,1059.0,8188.0,61.0
1788593667.242785,100.0,1057.0,8188.0,61.0
1788593667.442976,100.0,1059.0,8188.0,61.0
1788593667.643166,100.0,1057.0,8188.0,61.0
1788593667.843355,100.0,1059.0,8188.0,61.0
1788593668.043550,100.0,1059.0,8188.0,61.0
1788593668.243743,100.0,1059.0,8188.0,61.0
1788593668.443938,100.0,1057.0,8188.0,61.0
1788593668.644144,100.0,1059.0,8188.0,61.0
1788593668.844355,100.0,1057.0,8188.0,61.0
1788593669.044546,100.0,1057.0,8188.0,61.0
1788593669.244759,100.0,1057.0,8188.0,61.0
1788593669.444961,100.0,1057.0,8188.0,61.0
1788593669.645148,100.0,1059.0,8188.0,61.0
1788593669.845343,100.0,1057.0,8188.0,61.0
1788593670.045530,100.0,1059.0,8188.0,61.0
1788593670.245725,100.0,1057.0,8188.0,61.0
1788593670.445755,100.0,1057.0,8188.0,61.0
1788593670.645963,100.0,1059.0,8188.0,61.0
1788593670.846160,100.0,1057.0,8188.0,61.0
1788593671.046352,100.0,1059.0,8188.0,61.0
1788593671.246477,100.0,1059.0,8188.0,61.0
1788593671.446668,100.0,1057.0,8188.0,61.0
1788593671.646760,100.0,1057.0,8188.0,61.0
1788593671.846972,100.0,1057.0,8188.0,61.0
1788593672.047164,100.0,1059.0,8188.0,61.0
1788593672.247367,100.0,1059.0,8188.0,61.0
1788593672.447554,100.0,1057.0,8188.0,61.0
1788593672.647767,100.0,1057.0,8188.0,61.0
1788593672.847970,100.0,1057.0,8188.0,61.0
1788593673.048176,100.0,1061.0,8188.0,61.0
1788593673.248387,100.0,1061.0,8188.0,61.0
1788593673.448575,100.0,1057.0,8188.0,61.0
1788593673.648775,100.0,1057.0,8188.0,61.0
1788593673.848965,100.0,1057.0,8188.0,61.0
1788593674.049165,100.0,1057.0,8188.0,61.0
1788593674.249352,100.0,1057.0,8188.0,61.0
1788593674.449545,100.0,1057.0,8188.0,61.0
1788593674.649736,100.0,1057.0,8188.0,61.0
1788593674.849783,100.0,1057.0,8188.0,61.0
1788593675.049980,100.0,1057.0,8188.0,61.0
1788593675.250169,100.0,1057.0,8188.0,61.0
1788593675.450378,100.0,1057.0,8188.0,61.0
1788593675.650582,100.0,1059.0,8188.0,61.0
1788593675.850802,100.0,1057.0,8188.0,61.0
1788593676.050994,100.0,1059.0,8188.0,61.0
1788593676.251186,100.0,1059.0,8188.0,61.0
1788593676.451374,100.0,1057.0,8188.0,61.0
1788593676.651567,100.0,1057.0,8188.0,61.0
1788593676.851759,100.0,1059.0,8188.0,61.0
1788593677.051952,100.0,1093.0,8188.0,61.0
1788593677.252141,100.0,1089.0,8188.0,61.0
1788593677.452353,100.0,1089.0,8188.0,61.0
1788593677.652544,100.0,1089.0,8188.0,61.0
1788593677.852744,100.0,1217.0,8188.0,61.0
1788593678.052937,100.0,1217.0,8188.0,61.0
1788593678.253131,100.0,1217.0,8188.0,61.0
1788593678.453319,100.0,1217.0,8188.0,61.0
1788593678.653512,100.0,1217.0,8188.0,61.0
1788593678.853702,100.0,1217.0,8188.0,61.0
1788593679.053754,100.0,1217.0,8188.0,61.0
1788593679.253944,100.0,1217.0,8188.0,61.0
1788593679.454137,100.0,1217.0,8188.0,61.0
1788593679.654329,100.0,1223.0,8188.0,61.0
1788593679.854493,100.0,1219.0,8188.0,61.0
1788593680.054687,100.0,1217.0,8188.0,61.0
1788593680.254753,100.0,1219.0,8188.0,61.0
1788593680.454941,100.0,1219.0,8188.0,61.0
1788593680.655136,100.0,1217.0,8188.0,61.0
1788593680.855325,100.0,1217.0,8188.0,61.0
1788593681.055518,100.0,1219.0,8188.0,61.0
1788593681.255720,100.0,1217.0,8188.0,61.0
1788593681.455762,100.0,1221.0,8188.0,61.0
1788593681.655952,100.0,1221.0,8188.0,61.0
1788593681.856141,100.0,1221.0,8188.0,61.0
1788593682.056332,100.0,1221.0,8188.0,61.0
1788593682.256522,100.0,1221.0,8188.0,61.0
1788593682.456608,100.0,1223.0,8188.0,61.0
1788593682.656757,100.0,1221.0,8188.0,61.0
1788593682.856966,100.0,1221.0,8188.0,61.0
1788593683.057176,100.0,1223.0,8188.0,61.0
1788593683.257387,100.0,1221.0,8188.0,61.0
1788593683.457582,100.0,1221.0,8188.0,61.0
1788593683.657758,100.0,1221.0,8188.0,61.0
1788593683.857826,100.0,1221.0,8188.0,61.0
1788593684.058038,100.0,1221.0,8188.0,61.0
1788593684.258194,100.0,1223.0,8188.0,61.0
1788593684.458382,100.0,1221.0,8188.0,61.0
1788593684.658572,100.0,1221.0,8188.0,62.0
1788593684.858754,100.0,1221.0,8188.0,62.0
1788593685.058943,100.0,1223.0,8188.0,62.0
1788593685.259159,100.0,1225.0,8188.0,61.0
1788593685.459352,100.0,1221.0,8188.0,61.0
1788593685.659541,100.0,1221.0,8188.0,61.0
1788593685.859759,100.0,1221.0,8188.0,61.0
1788593686.059949,100.0,1221.0,8188.0,61.0
1788593686.260143,100.0,1221.0,8188.0,61.0
1788593686.460334,100.0,1221.0,8188.0,61.0
1788593686.660525,100.0,1221.0,8188.0,61.0
1788593686.860626,100.0,1221.0,8188.0,61.0
1788593687.060809,100.0,1221.0,8188.0,61.0
1788593687.261025,100.0,1221.0,8188.0,62.0
1788593687.461218,100.0,1221.0,8188.0,62.0
1788593687.661411,100.0,1221.0,8188.0,62.0
1788593687.861604,100.0,1223.0,8188.0,62.0
1788593688.061757,100.0,1221.0,8188.0,62.0
1788593688.261951,100.0,1221.0,8188.0,61.0
1788593688.462140,100.0,1221.0,8188.0,61.0
1788593688.662332,100.0,1221.0,8188.0,62.0
1788593688.862522,100.0,1221.0,8188.0,62.0
1788593689.062713,100.0,1221.0,8188.0,62.0
1788593689.262756,100.0,1221.0,8188.0,62.0
1788593689.462966,100.0,1221.0,8188.0,62.0
1788593689.663164,100.0,1221.0,8188.0,62.0
1788593689.863378,100.0,1223.0,8188.0,62.0
1788593690.063567,100.0,1223.0,8188.0,62.0
1788593690.263809,100.0,1221.0,8188.0,62.0
1788593690.463999,100.0,1221.0,8188.0,62.0
1788593690.664212,100.0,1223.0,8188.0,62.0
1788593690.864399,100.0,1221.0,8188.0,62.0
1788593691.064591,100.0,1221.0,8188.0,62.0
