t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788599157.538238,1.0,620.0,8188.0,62.0
1788599157.738436,1.0,620.0,8188.0,62.0
1788599157.938637,1.0,620.0,8188.0,62.0
1788599158.138861,1.0,620.0,8188.0,62.0
1788599158.339054,2.0,620.0,8188.0,62.0
1788599158.539246,2.0,620.0,8188.0,62.0
1788599158.739447,2.0,620.0,8188.0,62.0
1788599158.939642,2.0,620.0,8188.0,62.0
1788599159.139837,2.0,620.0,8188.0,62.0
1788599159.339883,2.0,620.0,8188.0,62.0
1788599159.540077,2.0,620.0,8188.0,62.0
1788599159.740872,2.0,620.0,8188.0,62.0
1788599159.941053,2.0,620.0,8188.0,62.0
1788599160.141249,2.0,620.0,8188.0,62.0
1788599160.341449,2.0,620.0,8188.0,62.0
1788599160.541641,2.0,620.0,8188.0,62.0
1788599160.741833,2.0,620.0,8188.0,62.0
1788599160.941868,2.0,620.0,8188.0,62.0
1788599161.142073,2.0,620.0,8188.0,62.0
1788599161.342266,2.0,622.0,8188.0,62.0
1788599161.542461,2.0,620.0,8188.0,62.0
1788599161.742655,2.0,622.0,8188.0,62.0
1788599161.942858,2.0,620.0,8188.0,62.0
1788599162.143053,2.0,620.0,8188.0,62.0
1788599162.343252,2.0,622.0,8188.0,62.0
1788599162.543447,2.0,620.0,8188.0,62.0
1788599162.743644,2.0,622.0,8188.0,62.0
1788599162.943844,2.0,620.0,8188.0,62.0
1788599163.143876,2.0,622.0,8188.0,62.0
1788599163.344073,2.0,620.0,8188.0,62.0
1788599163.544272,2.0,620.0,8188.0,62.0
1788599163.744477,2.0,620.0,8188.0,62.0
1788599163.944670,2.0,620.0,8188.0,62.0
1788599164.144870,2.0,620.0,8188.0,62.0
1788599164.345073,1.0,620.0,8188.0,62.0
1788599164.545271,1.0,620.0,8188.0,62.0
1788599164.745465,1.0,622.0,8188.0,62.0
1788599164.945662,1.0,620.0,8188.0,62.0
1788599165.145865,1.0,620.0,8188.0,62.0
1788599165.346066,2.0,620.0,8188.0,62.0
1788599165.546259,2.0,620.0,8188.0,62.0
1788599165.746454,2.0,620.0,8188.0,62.0
1788599165.946645,2.0,620.0,8188.0,62.0
1788599166.146840,2.0,620.0,8188.0,62.0
1788599166.346868,2.0,620.0,8188.0,62.0
1788599166.547065,2.0,620.0,8188.0,62.0
1788599166.747266,2.0,620.0,8188.0,62.0
1788599166.947465,2.0,620.0,8188.0,62.0
1788599167.147662,2.0,620.0,8188.0,62.0
1788599167.347860,2.0,620.0,8188.0,62.0
1788599167.548054,2.0,620.0,8188.0,62.0
1788599167.748311,2.0,620.0,8188.0,62.0
1788599167.948509,2.0,620.0,8188.0,62.0
1788599168.148707,2.0,620.0,8188.0,62.0
1788599168.348863,2.0,620.0,8188.0,62.0
1788599168.549071,2.0,620.0,8188.0,62.0
1788599168.749266,2.0,620.0,8188.0,62.0
1788599168.949465,2.0,620.0,8188.0,62.0
1788599169.149661,2.0,620.0,8188.0,62.0
1788599169.349852,2.0,620.0,8188.0,62.0
1788599169.550048,2.0,622.0,8188.0,62.0
1788599169.750242,2.0,686.0,8188.0,62.0
1788599169.950441,2.0,686.0,8188.0,62.0
1788599170.150642,2.0,786.0,8188.0,62.0
1788599170.350834,4.0,786.0,8188.0,62.0
1788599170.550875,4.0,786.0,8188.0,62.0
1788599170.751075,4.0,786.0,8188.0,62.0
1788599170.951268,4.0,786.0,8188.0,62.0
1788599171.151463,4.0,786.0,8188.0,62.0
1788599171.351656,1.0,786.0,8188.0,62.0
1788599171.551859,1.0,786.0,8188.0,62.0
1788599171.752053,1.0,786.0,8188.0,62.0
1788599171.952247,1.0,786.0,8188.0,63.0
1788599172.152440,1.0,788.0,8188.0,63.0
1788599172.352635,3.0,786.0,8188.0,63.0
1788599172.552830,3.0,788.0,8188.0,63.0
1788599172.752884,3.0,786.0,8188.0,63.0
1788599172.953080,3.0,786.0,8188.0,63.0
1788599173.153272,3.0,788.0,8188.0,63.0
1788599173.353465,1.0,786.0,8188.0,63.0
1788599173.553658,1.0,786.0,8188.0,63.0
1788599173.753858,1.0,786.0,8188.0,63.0
1788599173.954055,1.0,786.0,8188.0,63.0
1788599174.154249,1.0,788.0,8188.0,63.0
1788599174.354453,3.0,786.0,8188.0,63.0
1788599174.554652,3.0,786.0,8188.0,63.0
1788599174.754860,3.0,786.0,8188.0,63.0
1788599174.955053,3.0,786.0,8188.0,63.0
1788599175.155244,3.0,788.0,8188.0,63.0
1788599175.355439,4.0,786.0,8188.0,63.0
1788599175.555634,4.0,786.0,8188.0,63.0
1788599175.755831,4.0,786.0,8188.0,63.0
1788599175.955866,4.0,786.0,8188.0,63.0
1788599176.156060,4.0,786.0,8188.0,63.0
1788599176.356252,2.0,786.0,8188.0,63.0
1788599176.556445,2.0,786.0,8188.0,63.0
1788599176.756644,2.0,786.0,8188.0,63.0
1788599176.956836,2.0,786.0,8188.0,63.0
1788599177.156867,2.0,786.0,8188.0,63.0
