t_wall,t_sim,exp_id,gt_x,gt_y,gt_z,gt_dyaw_deg,vslam_x,vslam_y,vslam_z,vslam_dyaw_deg,pos_error_m,yaw_error_deg,vo_state,feature_count,msg_age_s
1788683754.446855,35.380000,gate_sweep_poor_extreme_r02,1.1838972568511963e-05,-0.00034344103187322617,-0.0003109872341156006,-0.0005126597678209359,0.0,0.0,0.0,0.0,0.0004634705637130536,0.0005126597678209358,,,1788683719.0668378
1788683754.538181,35.412000,gate_sweep_poor_extreme_r02,0.0001409938558936119,-0.0007345825433731079,-0.0006924271583557129,-0.0006110419499079478,0.0,0.0,0.0,0.0,0.0010192870793141744,0.0006110419499079478,1,142,1788683719.1261616
1788683754.582684,35.444000,gate_sweep_poor_extreme_r02,0.00030956417322158813,-0.0009905444458127022,-0.0009488761425018311,-0.0014961055217748887,0.0,0.0,0.0,0.0,0.0014061913846564109,0.0014961055217748887,1,142,1788683719.1386647
1788683754.627991,35.476000,gate_sweep_poor_extreme_r02,0.0007056202739477158,-0.0013375086709856987,-0.0012916326522827148,-0.0016833292912761828,0.0,0.0,0.0,0.0,0.001988754465591683,0.0016833292912761828,1,142,1788683719.1519735
1788683754.676793,35.512000,gate_sweep_poor_extreme_r02,0.0010964209213852882,-0.0015401598066091537,-0.001491457223892212,-0.0014740719296354485,0.0,0.0,0.0,0.0,0.0024080439608624203,0.0014740719296354485,1,142,1788683719.1647742
1788683754.723032,35.544000,gate_sweep_poor_extreme_r02,0.0015491582453250885,-0.0017063766717910767,-0.0016549527645111084,-0.0021434254411358228,0.0,0.0,0.0,0.0,0.0028373370028698494,0.0021434254411358228,1,142,1788683719.1790135
1788683754.767119,35.576000,gate_sweep_poor_extreme_r02,0.0019192630425095558,-0.0018243677914142609,-0.0017725229263305664,-0.0019210183439982926,0.0,0.0,0.0,0.0,0.0031864911719727486,0.001921018343998293,1,142,1788683719.1911016
1788683754.815008,35.608000,gate_sweep_poor_extreme_r02,0.002535599283874035,-0.001999177969992161,-0.001954376697540283,-0.002511855150793434,0.0,0.0,0.0,0.0,0.0037743296835296408,0.002511855150793434,1,142,1788683719.20699
1788683754.860946,35.644000,gate_sweep_poor_extreme_r02,0.0030203182250261307,-0.002109210006892681,-0.002042025327682495,-0.0028943005810825287,0.0,0.0,0.0,0.0,0.004212001480590673,0.0028943005810825287,1,142,1788683719.2169282
1788683754.908563,35.676000,gate_sweep_poor_extreme_r02,0.003549516201019287,-0.0021896036341786385,-0.0020285844802856445,-0.003412932566444112,0.0,0.0,0.0,0.0,0.004637734827452134,0.003412932566444112,1,142,1788683719.2325459
1788683754.952626,35.708000,gate_sweep_poor_extreme_r02,0.004223524127155542,-0.00225151889026165,-0.0019178390502929688,-0.004229546345362791,0.0,0.0,0.0,0.0,0.005156122573087132,0.004229546345362791,1,142,1788683719.2446089
1788683754.997983,35.740000,gate_sweep_poor_extreme_r02,0.004779803100973368,-0.002240666188299656,-0.001804441213607788,-0.004881983745822076,0.0,0.0,0.0,0.0,0.005578809079438933,0.004881983745822076,1,142,1788683719.2579646
1788683755.042957,35.776000,gate_sweep_poor_extreme_r02,0.005200628656893969,-0.0022144466638565063,-0.0017207562923431396,-0.004475135491106968,0.0,0.0,0.0,0.0,0.005908579750803951,0.004475135491106968,1,142,1788683719.2669392
1788683755.087235,35.808000,gate_sweep_poor_extreme_r02,0.005881109274923801,-0.002214261330664158,-0.0015947520732879639,-0.005096812173878669,0.0,0.0,0.0,0.0,0.0064833350768972,0.005096812173878669,1,142,1788683719.2792168
1788683755.133096,35.840000,gate_sweep_poor_extreme_r02,0.006417764350771904,-0.0022925306111574173,-0.001515805721282959,-0.003914709595322637,0.0,0.0,0.0,0.0,0.00698147998993098,0.003914709595322637,1,142,1788683719.293081
1788683755.177855,35.872000,gate_sweep_poor_extreme_r02,0.006920150015503168,-0.0024180393666028976,-0.00141829252243042,-0.003763784299950163,0.0,0.0,0.0,0.0,0.007466387633567647,0.003763784299950163,1,142,1788683719.3058343
1788683755.224815,35.908000,gate_sweep_poor_extreme_r02,0.00752386637032032,-0.0026258258149027824,-0.0012663602828979492,-0.003339827967582848,0.0,0.0,0.0,0.0,0.008068902944932992,0.003339827967582848,1,142,1788683719.316798
1788683755.271567,35.940000,gate_sweep_poor_extreme_r02,0.00807102071121335,-0.0028068777173757553,-0.0011049509048461914,-0.002239215794322471,0.0,0.0,0.0,0.0,0.008616313268635014,0.002239215794322471,1,142,1788683719.3315492
1788683755.316125,35.972000,gate_sweep_poor_extreme_r02,0.008476863615214825,-0.002916686236858368,-0.0009670257568359375,-0.0021942782712455894,0.0,0.0,0.0,0.0,0.00901661877699263,0.0021942782712455894,1,142,1788683719.3441072
1788683755.363760,36.004000,gate_sweep_poor_extreme_r02,0.009172884281724691,-0.003086755983531475,-0.0007041096687316895,-0.000646090074387883,0.0,0.0,0.0,0.0,0.009703898132883543,0.000646090074387883,1,142,1788683719.3597422
1788683755.411559,36.040000,gate_sweep_poor_extreme_r02,0.009743520524352789,-0.0032069673761725426,-0.0005382001399993896,0.0008266584650287124,0.0,0.0,0.0,0.0,0.010271829990367558,0.0008266584650287123,1,142,1788683719.3715396
1788683755.459303,36.072000,gate_sweep_poor_extreme_r02,0.010282895294949412,-0.0033192848786711693,-0.00036576390266418457,0.0007001015827507191,0.0,0.0,0.0,0.0,0.010811538788958765,0.0007001015827507191,1,142,1788683719.3872824
1788683755.506716,36.104000,gate_sweep_poor_extreme_r02,0.010772612469736487,-0.0034470045939087868,-0.00020489096641540527,-6.514815716687651e-05,0.0,0.0,0.0,0.0,0.011312515211113263,6.514815716687651e-05,1,142,1788683719.402699
1788683755.551302,36.136000,gate_sweep_poor_extreme_r02,0.011362023520632647,-0.0036849919706583023,-0.0001373589038848877,-3.073889503759935e-05,0.0,0.0,0.0,0.0,0.011945443138523665,3.073889503759935e-05,1,142,1788683719.4152815
1788683755.599320,36.172000,gate_sweep_poor_extreme_r02,0.011727026576409116,-0.0038815001025795937,-0.00014635920524597168,0.000580956253444011,0.0,0.0,0.0,0.0,0.012353566949957867,0.000580956253444011,1,142,1788683719.4273043
1788683755.644723,36.204000,gate_sweep_poor_extreme_r02,0.012240645417477936,-0.004130726680159569,-0.00021180510520935059,0.0006661397428429693,0.0,0.0,0.0,0.0,0.012920571370694038,0.0006661397428429693,1,142,1788683719.4407034
1788683755.692919,36.236000,gate_sweep_poor_extreme_r02,0.012764452956616879,-0.004352274350821972,-0.00030428171157836914,0.001133984651428757,0.0,0.0,0.0,0.0,0.013489482520338178,0.001133984651428757,1,142,1788683719.4568975
1788683755.736165,36.268000,gate_sweep_poor_extreme_r02,0.013465439900755882,-0.004563785158097744,-0.000401228666305542,0.0008059916848993864,0.0,0.0,0.0,0.0,0.01422347324435235,0.0008059916848993864,1,142,1788683719.4681478
1788683755.781328,36.304000,gate_sweep_poor_extreme_r02,0.014078276697546244,-0.004628320690244436,-0.00040277838706970215,0.001035138554437407,0.0,0.0,0.0,0.0,0.014825028081373363,0.001035138554437407,1,142,1788683719.477309
1788683755.828403,36.336000,gate_sweep_poor_extreme_r02,0.014546873746439815,-0.004634367302060127,-0.0003878772258758545,0.0005908010595248895,0.0,0.0,0.0,0.0,0.01527217551063427,0.0005908010595248895,1,142,1788683719.4923825
1788683755.876684,36.368000,gate_sweep_poor_extreme_r02,0.015332098584622145,-0.004611062817275524,-0.00030428171157836914,0.00047509972349159285,0.0,0.0,0.0,0.0,0.0160133611298014,0.00047509972349159274,1,142,1788683719.5086625
1788683755.926274,36.400000,gate_sweep_poor_extreme_r02,0.016029154881834984,-0.004552457481622696,-0.00014024972915649414,-0.00039932464257270956,0.0,0.0,0.0,0.0,0.01666368342637261,0.00039932464257270956,1,142,1788683719.5262575
1788683755.974466,36.436000,gate_sweep_poor_extreme_r02,0.016824363265186548,-0.004431682638823986,3.6776065826416016e-05,-0.0011232875459054198,0.0,0.0,0.0,0.0,0.01739828620207261,0.0011232875459054198,1,142,1788683719.5384467
1788683756.019808,36.468000,gate_sweep_poor_extreme_r02,0.017910361755639315,-0.00419830996543169,0.00029149651527404785,-0.002349423971607748,0.0,0.0,0.0,0.0,0.018398147597030724,0.002349423971607748,1,142,1788683719.5517879
1788683756.066528,36.500000,gate_sweep_poor_extreme_r02,0.01884217234328389,-0.0039410581812262535,0.0005000531673431396,-0.0027620232650217196,0.0,0.0,0.0,0.0,0.019256413253043586,0.00276202326502172,1,142,1788683719.5665104
1788683756.114748,36.532000,gate_sweep_poor_extreme_r02,0.019576115533709526,-0.003695683553814888,0.0006679892539978027,-0.002686946686006781,0.0,0.0,0.0,0.0,0.019933102768072454,0.002686946686006781,1,142,1788683719.5827274
1788683756.167731,36.568000,gate_sweep_poor_extreme_r02,0.02079616766422987,-0.003228229470551014,0.0009718835353851318,-0.0036057944094078703,0.0,0.0,0.0,0.0,0.021067667470312103,0.0036057944094078703,1,142,1788683719.5997088
1788683756.215589,36.600000,gate_sweep_poor_extreme_r02,0.021720580756664276,-0.002781398594379425,0.0012339949607849121,-0.004848982751511427,0.0,0.0,0.0,0.0,0.021932682237036875,0.004848982751511427,1,142,1788683719.6155705
1788683756.321538,36.632000,gate_sweep_poor_extreme_r02,0.022567945532500744,-0.0022780168801546097,0.0015084445476531982,-0.005344111654849638,0.0,0.0,0.0,0.0,0.022732728200054085,0.0053441116548496375,1,142,1788683719.6895099
1788683756.372171,36.664000,gate_sweep_poor_extreme_r02,0.023521664552390575,-0.0016502579674124718,0.0018885433673858643,-0.0064547852576450696,0.0,0.0,0.0,0.0,0.023654992088874026,0.006454785257645069,1,142,1788683719.7081504
1788683756.420945,36.700000,gate_sweep_poor_extreme_r02,0.024236423894762993,-0.0011698855087161064,0.0022885799407958984,-0.007524409161613958,0.0,0.0,0.0,0.0,0.024372330078504104,0.007524409161613958,1,142,1788683719.7209249
1788683756.469769,36.732000,gate_sweep_poor_extreme_r02,0.024756579659879208,-0.0008409088477492332,0.0025664865970611572,-0.007985214589042734,0.0,0.0,0.0,0.0,0.024903457944612076,0.007985214589042734,1,142,1788683719.7377431
1788683756.523664,36.764000,gate_sweep_poor_extreme_r02,0.025389036163687706,-0.00043178629130125046,0.0029190480709075928,-0.007794146129588846,0.0,0.0,0.0,0.0,0.025559938152559507,0.007794146129588847,1,142,1788683719.7596457
1788683756.572604,36.796000,gate_sweep_poor_extreme_r02,0.026032283902168274,1.7930753529071808e-05,0.003125429153442383,-0.008785288933928898,0.0,0.0,0.0,0.0,0.026219237862077516,0.008785288933928898,1,142,1788683719.7765853
1788683756.623730,36.832000,gate_sweep_poor_extreme_r02,0.02643810585141182,0.00032484065741300583,0.003262162208557129,-0.008993705193803467,0.0,0.0,0.0,0.0,0.02664058304050613,0.008993705193803467,1,142,1788683719.7917068
1788683756.674497,36.864000,gate_sweep_poor_extreme_r02,0.026741065084934235,0.0005787219852209091,0.0033857226371765137,-0.009625974669072904,0.0,0.0,0.0,0.0,0.02696076035257085,0.009625974669072904,1,142,1788683719.8104732
1788683756.780617,36.896000,gate_sweep_poor_extreme_r02,0.026948546059429646,0.0007726084440946579,0.0034384727478027344,-0.00998484729273307,0.0,0.0,0.0,0.0,0.02717800863496937,0.00998484729273307,1,142,1788683719.8845987
1788683756.837581,36.928000,gate_sweep_poor_extreme_r02,0.02707014326006174,0.0008906396105885506,0.003458350896835327,-0.01027210735641075,0.0,0.0,0.0,0.0,0.027304689816254224,0.010272107356410749,1,142,1788683719.9095645
