t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788687535.483743,2.0,620.0,8188.0,66.0
1788687535.683882,2.0,620.0,8188.0,66.0
1788687535.884067,2.0,620.0,8188.0,66.0
1788687536.084238,2.0,620.0,8188.0,66.0
1788687536.284446,2.0,620.0,8188.0,66.0
1788687536.484641,2.0,622.0,8188.0,66.0
1788687536.684839,2.0,620.0,8188.0,66.0
1788687536.884878,2.0,1265.0,8188.0,66.0
1788687537.085096,100.0,1263.0,8188.0,77.0
1788687537.285288,100.0,1263.0,8188.0,77.0
1788687537.485481,100.0,1267.0,8188.0,77.0
1788687537.686887,100.0,1263.0,8188.0,79.0
1788687537.887067,100.0,1263.0,8188.0,79.0
1788687538.087258,100.0,1263.0,8188.0,78.0
1788687538.287457,100.0,1265.0,8188.0,78.0
1788687538.487652,100.0,1263.0,8188.0,78.0
1788687538.687877,100.0,1263.0,8188.0,78.0
1788687538.888073,100.0,1265.0,8188.0,78.0
1788687539.088296,100.0,1263.0,8188.0,78.0
1788687539.288491,100.0,1263.0,8188.0,78.0
1788687539.488686,100.0,1265.0,8188.0,78.0
1788687539.688881,100.0,1263.0,8188.0,79.0
1788687539.889073,100.0,1265.0,8188.0,79.0
1788687540.089268,100.0,1265.0,8188.0,79.0
1788687540.289458,100.0,1263.0,8188.0,79.0
1788687540.489658,100.0,1263.0,8188.0,79.0
1788687540.689849,100.0,1265.0,8188.0,79.0
1788687540.889896,100.0,1265.0,8188.0,79.0
1788687541.090142,100.0,1263.0,8188.0,79.0
1788687541.290334,100.0,1263.0,8188.0,79.0
1788687541.490528,100.0,1265.0,8188.0,79.0
1788687541.690722,100.0,1265.0,8188.0,80.0
1788687541.890895,100.0,1263.0,8188.0,80.0
1788687542.091092,100.0,1263.0,8188.0,80.0
1788687542.291290,100.0,1265.0,8188.0,80.0
1788687542.491487,100.0,1265.0,8188.0,80.0
1788687542.691691,100.0,1263.0,8188.0,80.0
1788687542.891882,100.0,1263.0,8188.0,80.0
1788687543.092075,100.0,1265.0,8188.0,81.0
1788687543.292274,100.0,1267.0,8188.0,81.0
1788687543.492468,100.0,1265.0,8188.0,81.0
1788687543.692667,100.0,1265.0,8188.0,81.0
1788687543.892859,100.0,1265.0,8188.0,81.0
1788687544.092881,100.0,1263.0,8188.0,81.0
1788687544.293073,100.0,1265.0,8188.0,81.0
1788687544.493267,100.0,1265.0,8188.0,81.0
1788687544.693456,100.0,1263.0,8188.0,81.0
1788687544.893658,100.0,1263.0,8188.0,81.0
1788687545.093847,100.0,1263.0,8188.0,81.0
1788687545.293880,100.0,1267.0,8188.0,81.0
1788687545.494088,100.0,1263.0,8188.0,81.0
1788687545.694287,100.0,1265.0,8188.0,81.0
1788687545.894482,100.0,1263.0,8188.0,81.0
1788687546.094675,100.0,1265.0,8188.0,81.0
1788687546.294872,100.0,1267.0,8188.0,81.0
1788687546.495065,100.0,1265.0,8188.0,81.0
1788687546.695256,100.0,1265.0,8188.0,82.0
1788687546.895451,100.0,1263.0,8188.0,82.0
1788687547.095647,100.0,1263.0,8188.0,81.0
1788687547.295839,100.0,1265.0,8188.0,81.0
1788687547.495887,100.0,1267.0,8188.0,81.0
1788687547.696082,100.0,1365.0,8188.0,82.0
1788687547.896273,100.0,1365.0,8188.0,82.0
1788687548.096465,100.0,1365.0,8188.0,82.0
1788687548.296661,100.0,1363.0,8188.0,82.0
1788687548.496859,100.0,1365.0,8188.0,82.0
1788687548.696892,100.0,1363.0,8188.0,81.0
1788687548.897089,100.0,1365.0,8188.0,81.0
1788687549.097283,100.0,1365.0,8188.0,82.0
1788687549.297385,100.0,1363.0,8188.0,82.0
