t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788691651.136007,2.0,620.0,8188.0,66.0
1788691651.336198,1.0,620.0,8188.0,66.0
1788691651.536383,1.0,620.0,8188.0,66.0
1788691651.736549,1.0,620.0,8188.0,66.0
1788691651.936751,1.0,620.0,8188.0,66.0
1788691652.136887,1.0,620.0,8188.0,66.0
1788691652.337141,2.0,620.0,8188.0,66.0
1788691652.537336,2.0,793.0,8188.0,66.0
1788691652.737547,2.0,791.0,8188.0,75.0
1788691652.937739,2.0,793.0,8188.0,75.0
1788691653.137884,2.0,791.0,8188.0,75.0
1788691653.338887,100.0,791.0,8188.0,77.0
1788691653.539055,100.0,791.0,8188.0,77.0
1788691653.739248,100.0,793.0,8188.0,77.0
1788691653.939446,100.0,791.0,8188.0,77.0
1788691654.139643,100.0,791.0,8188.0,77.0
1788691654.339838,100.0,791.0,8188.0,78.0
1788691654.539886,100.0,791.0,8188.0,78.0
1788691654.740080,100.0,791.0,8188.0,78.0
1788691654.940274,100.0,793.0,8188.0,78.0
1788691655.140471,100.0,791.0,8188.0,78.0
1788691655.340665,100.0,791.0,8188.0,79.0
1788691655.540861,100.0,791.0,8188.0,79.0
1788691655.741072,100.0,793.0,8188.0,78.0
1788691655.941263,100.0,791.0,8188.0,78.0
1788691656.141453,100.0,793.0,8188.0,78.0
1788691656.341648,100.0,791.0,8188.0,79.0
1788691656.541842,100.0,795.0,8188.0,79.0
1788691656.742072,100.0,793.0,8188.0,79.0
1788691656.942266,100.0,791.0,8188.0,79.0
1788691657.142460,100.0,793.0,8188.0,79.0
1788691657.342659,100.0,791.0,8188.0,79.0
1788691657.542850,100.0,793.0,8188.0,79.0
1788691657.742891,100.0,791.0,8188.0,79.0
1788691657.943083,100.0,793.0,8188.0,79.0
1788691658.143285,100.0,791.0,8188.0,79.0
1788691658.343478,100.0,791.0,8188.0,80.0
1788691658.543678,100.0,791.0,8188.0,80.0
1788691658.743879,100.0,793.0,8188.0,79.0
1788691658.944069,100.0,791.0,8188.0,79.0
1788691659.144262,100.0,791.0,8188.0,79.0
1788691659.344455,100.0,791.0,8188.0,80.0
1788691659.544653,100.0,795.0,8188.0,80.0
1788691659.744844,100.0,793.0,8188.0,80.0
1788691659.944891,100.0,793.0,8188.0,80.0
1788691660.145085,100.0,791.0,8188.0,80.0
1788691660.345280,100.0,791.0,8188.0,80.0
1788691660.545472,100.0,791.0,8188.0,80.0
1788691660.745666,100.0,793.0,8188.0,80.0
1788691660.945858,100.0,793.0,8188.0,80.0
1788691661.145916,100.0,791.0,8188.0,80.0
1788691661.346115,100.0,791.0,8188.0,81.0
1788691661.546313,100.0,793.0,8188.0,81.0
1788691661.746514,100.0,791.0,8188.0,81.0
1788691661.946707,100.0,791.0,8188.0,81.0
1788691662.146878,100.0,791.0,8188.0,81.0
1788691662.347077,100.0,791.0,8188.0,81.0
1788691662.547276,100.0,793.0,8188.0,81.0
1788691662.747469,100.0,793.0,8188.0,81.0
1788691662.947660,100.0,793.0,8188.0,81.0
1788691663.147771,100.0,793.0,8188.0,81.0
1788691663.347881,100.0,893.0,8188.0,81.0
1788691663.548077,100.0,893.0,8188.0,81.0
1788691663.748276,100.0,893.0,8188.0,81.0
1788691663.948469,100.0,891.0,8188.0,81.0
1788691664.148672,100.0,891.0,8188.0,81.0
1788691664.348874,100.0,891.0,8188.0,81.0
1788691664.549072,100.0,891.0,8188.0,81.0
1788691664.749265,100.0,891.0,8188.0,81.0
1788691664.949457,100.0,893.0,8188.0,81.0
1788691665.149654,100.0,893.0,8188.0,81.0
1788691665.349853,100.0,895.0,8188.0,83.0
1788691665.549880,100.0,957.0,8188.0,83.0
