t_wall,t_sim,exp_id,gt_x,gt_y,gt_z,gt_dyaw_deg,vslam_x,vslam_y,vslam_z,vslam_dyaw_deg,pos_error_m,yaw_error_deg,vo_state,feature_count,msg_age_s
1788690208.392956,32.212000,gate_sweep_poor_none_r01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1788690176.1809382
1788690208.438165,32.244000,gate_sweep_poor_none_r01,-0.0004358734004199505,-0.00017487909644842148,-0.00018516182899475098,-0.0001983272955365693,-1.4901161193847656e-08,-5.587935447692871e-09,2.9802322387695312e-08,1.7056891989409194e-06,0.000504826025146917,0.0002000329847355102,1,142,1788690176.194144
1788690208.488012,32.276000,gate_sweep_poor_none_r01,-0.0009627868421375751,-0.0003816094249486923,-0.00048626959323883057,-0.0004586466876287714,-2.9802322387695312e-08,-1.1175870895385742e-08,5.960464477539063e-08,-1.0491381356997854e-06,0.0011441304253130646,0.0004575975494930716,1,142,1788690176.2119977
1788690208.535336,32.308000,gate_sweep_poor_none_r01,-0.001369924284517765,-0.0005215499550104141,-0.0006132572889328003,-0.0008003366791783949,-4.470348358154297e-08,-1.6763806343078613e-08,8.940696716308594e-08,-1.3401473337829684e-05,0.0015889496862497863,0.0007869352058405652,1,142,1788690176.227318
1788690208.581857,32.344000,gate_sweep_poor_none_r01,-0.001671880017966032,-0.0005978485569357872,-0.0006691068410873413,-0.00036629798709127517,-6.146728992462158e-08,-2.2351741790771484e-08,1.1920928955078125e-07,-1.5961922157060692e-05,0.0018974290354330696,0.0003503360649342145,1,142,1788690176.237841
1788690208.630059,32.376000,gate_sweep_poor_none_r01,-0.0021271975710988045,-0.0006678896024823189,-0.0006486028432846069,-0.0009307533973702004,-7.636845111846924e-08,-2.7939677238464355e-08,1.4901161193847656e-07,-1.66032403938139e-05,0.0023219738974910578,0.0009141501569763865,1,142,1788690176.2540417
1788690208.679205,32.408000,gate_sweep_poor_none_r01,-0.002431083470582962,-0.0006982600316405296,-0.0006213486194610596,-0.00010391495667834881,-9.12696123123169e-08,-3.3527612686157227e-08,1.7881393432617188e-07,-1.575702633371154e-05,0.0026045229280177444,8.815793034463727e-05,1,142,1788690176.2711873
1788690208.729425,32.440000,gate_sweep_poor_none_r01,-0.0026460308581590652,-0.0007048714905977249,-0.0005400180816650391,-1.8412733956322838e-05,-1.0617077350616455e-07,-3.91155481338501e-08,2.086162567138672e-07,-1.3169463141652476e-05,0.0027909767131564993,5.243270814670362e-06,1,142,1788690176.2894068
1788690208.775934,32.476000,gate_sweep_poor_none_r01,-0.002768915146589279,-0.0006611496210098267,-0.00035281479358673096,0.0006960289142270165,-1.210719347000122e-07,-4.470348358154297e-08,2.3655593395233154e-07,-1.6171111598603444e-05,0.0028684360887455845,0.00071220002582562,1,142,1788690176.2999196
1788690208.823817,32.508000,gate_sweep_poor_none_r01,-0.002786750439554453,-0.0005964012816548347,-0.0002006739377975464,0.0003200247874121984,-1.3783574104309082e-07,-5.029141902923584e-08,2.6635825634002686e-07,-1.6750463223373102e-05,0.002856785135403991,0.00033677525063557153,1,142,1788690176.3157988
