t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788689645.633461,2.0,624.0,8188.0,66.0
1788689645.833655,2.0,624.0,8188.0,66.0
1788689646.033837,2.0,624.0,8188.0,66.0
1788689646.233892,1.0,624.0,8188.0,66.0
1788689646.434091,1.0,624.0,8188.0,66.0
1788689646.634286,1.0,624.0,8188.0,66.0
1788689646.834483,1.0,624.0,8188.0,66.0
1788689647.034676,1.0,624.0,8188.0,66.0
1788689647.234888,2.0,624.0,8188.0,66.0
1788689647.435083,2.0,624.0,8188.0,66.0
1788689647.635284,2.0,624.0,8188.0,66.0
1788689647.840231,2.0,624.0,8188.0,66.0
1788689648.040422,2.0,624.0,8188.0,66.0
1788689648.240616,2.0,626.0,8188.0,66.0
1788689648.440884,2.0,624.0,8188.0,66.0
1788689648.641075,2.0,624.0,8188.0,66.0
1788689648.841269,2.0,624.0,8188.0,66.0
1788689649.041463,2.0,624.0,8188.0,66.0
1788689649.241657,2.0,624.0,8188.0,66.0
1788689649.441855,2.0,624.0,8188.0,66.0
1788689649.641882,2.0,624.0,8188.0,66.0
1788689649.842076,2.0,624.0,8188.0,66.0
1788689650.042271,2.0,624.0,8188.0,66.0
1788689650.242463,2.0,624.0,8188.0,66.0
1788689650.442659,2.0,624.0,8188.0,66.0
1788689650.642855,2.0,626.0,8188.0,66.0
1788689650.842886,2.0,624.0,8188.0,66.0
1788689651.043082,2.0,624.0,8188.0,66.0
1788689651.243276,2.0,626.0,8188.0,66.0
1788689651.443468,2.0,624.0,8188.0,66.0
1788689651.643660,2.0,626.0,8188.0,66.0
1788689651.843854,2.0,624.0,8188.0,66.0
1788689652.043890,2.0,624.0,8188.0,66.0
1788689652.244081,2.0,624.0,8188.0,66.0
1788689652.444281,2.0,624.0,8188.0,66.0
1788689652.644396,2.0,624.0,8188.0,66.0
1788689652.844591,2.0,626.0,8188.0,66.0
1788689653.044782,2.0,624.0,8188.0,66.0
1788689653.244895,2.0,624.0,8188.0,66.0
1788689653.445091,2.0,624.0,8188.0,66.0
1788689653.645288,2.0,626.0,8188.0,66.0
1788689653.845482,2.0,624.0,8188.0,66.0
1788689654.045674,2.0,624.0,8188.0,66.0
1788689654.245873,2.0,624.0,8188.0,66.0
1788689654.446067,2.0,626.0,8188.0,66.0
1788689654.646261,2.0,626.0,8188.0,66.0
1788689654.846455,2.0,624.0,8188.0,66.0
1788689655.046650,2.0,624.0,8188.0,66.0
1788689655.246853,2.0,624.0,8188.0,66.0
1788689655.446893,2.0,624.0,8188.0,66.0
1788689655.647086,2.0,624.0,8188.0,66.0
1788689655.847291,2.0,624.0,8188.0,66.0
1788689656.047480,2.0,624.0,8188.0,66.0
1788689656.247673,2.0,624.0,8188.0,66.0
1788689656.447875,2.0,626.0,8188.0,66.0
1788689656.648079,2.0,624.0,8188.0,66.0
1788689656.848275,2.0,624.0,8188.0,66.0
1788689657.048330,2.0,624.0,8188.0,66.0
1788689657.248538,2.0,624.0,8188.0,66.0
1788689657.448732,2.0,624.0,8188.0,66.0
1788689657.648886,2.0,624.0,8188.0,66.0
1788689657.849077,2.0,624.0,8188.0,66.0
1788689658.049275,2.0,624.0,8188.0,66.0
1788689658.249467,2.0,624.0,8188.0,66.0
1788689658.449668,2.0,624.0,8188.0,66.0
1788689658.649870,2.0,624.0,8188.0,66.0
1788689658.850073,2.0,624.0,8188.0,66.0
1788689659.050263,2.0,624.0,8188.0,66.0
1788689659.250459,2.0,624.0,8188.0,66.0
1788689659.450655,2.0,624.0,8188.0,66.0
1788689659.650847,2.0,624.0,8188.0,66.0
1788689659.850878,2.0,624.0,8188.0,66.0
1788689660.051070,2.0,624.0,8188.0,66.0
1788689660.251265,2.0,626.0,8188.0,66.0
1788689660.451461,2.0,624.0,8188.0,66.0
1788689660.651654,2.0,624.0,8188.0,66.0
1788689660.851869,2.0,624.0,8188.0,66.0
