t_wall,t_sim,exp_id,gt_x,gt_y,gt_z,gt_dyaw_deg,vslam_x,vslam_y,vslam_z,vslam_dyaw_deg,pos_error_m,yaw_error_deg,vo_state,feature_count,msg_age_s
1788529914.308810,36.336000,mini_dose_high_r1,-0.0381742836907506,-0.017400565557181835,-0.004574567079544067,-0.023151144364947206,0.0,0.0,0.0,0.0,0.04220168575989516,0.023151144364947206,,,1788529877.97279
1788529914.359865,36.368000,mini_dose_high_r1,-0.03826685342937708,-0.017219881527125835,-0.00460466742515564,-0.022836810476019133,0.0,0.0,0.0,0.0,0.04221468172674014,0.022836810476019133,1,377,1788529877.991841
1788529914.402723,36.400000,mini_dose_high_r1,-0.03837038669735193,-0.016883152537047863,-0.004738122224807739,-0.023672886328389237,0.0,0.0,0.0,0.0,0.04218740590639302,0.023672886328389237,1,377,1788529878.0027027
1788529914.449956,36.436000,mini_dose_high_r1,-0.03838520962744951,-0.016589873470366,-0.004883289337158203,-0.0248477916856282,0.0,0.0,0.0,0.0,0.04210100633781097,0.0248477916856282,1,377,1788529878.0139353
1788529914.495391,36.468000,mini_dose_high_r1,-0.03833441901952028,-0.016283693723380566,-0.005032747983932495,-0.024335291701921367,0.0,0.0,0.0,0.0,0.04195253168893146,0.024335291701921367,1,377,1788529878.0273733
1788529914.538734,36.500000,mini_dose_high_r1,-0.038263299502432346,-0.01599022839218378,-0.005164504051208496,-0.025025341956247924,0.0,0.0,0.0,0.0,0.04179042468008657,0.025025341956247924,1,377,1788529878.0387163
1788529914.584442,36.532000,mini_dose_high_r1,-0.03809498716145754,-0.015640529803931713,-0.005366533994674683,-0.02541775507213145,0.0,0.0,0.0,0.0,0.0415289526294041,0.025417755072131447,1,377,1788529878.0524173
1788529914.627882,36.568000,mini_dose_high_r1,-0.03793808538466692,-0.015423429198563099,-0.005533933639526367,-0.025342687598796088,0.0,0.0,0.0,0.0,0.041325596334766276,0.02534268759879609,1,377,1788529878.0598607
1788529914.679843,36.600000,mini_dose_high_r1,-0.03768691886216402,-0.015094428323209286,-0.005819648504257202,-0.02567381683728682,0.0,0.0,0.0,0.0,0.04101236311700339,0.02567381683728682,1,377,1788529878.079827
1788529914.727932,36.632000,mini_dose_high_r1,-0.03738428372889757,-0.01468877587467432,-0.0061501264572143555,-0.024772135073175192,0.0,0.0,0.0,0.0,0.04063457717337364,0.024772135073175192,1,377,1788529878.095916
1788529914.773514,36.664000,mini_dose_high_r1,-0.03694027382880449,-0.014091881923377514,-0.006605476140975952,-0.02583791800450254,0.0,0.0,0.0,0.0,0.04008487597259688,0.02583791800450254,1,377,1788529878.1094947
1788529914.821479,36.700000,mini_dose_high_r1,-0.03659623581916094,-0.01357059646397829,-0.006930500268936157,-0.026736677395940423,0.0,0.0,0.0,0.0,0.039641864215719,0.026736677395940423,1,377,1788529878.121464
1788529914.872540,36.732000,mini_dose_high_r1,-0.03633003402501345,-0.013171113096177578,-0.007133305072784424,-0.026531439959175823,0.0,0.0,0.0,0.0,0.03929673820703631,0.026531439959175823,1,377,1788529878.1405127
1788529914.918737,36.764000,mini_dose_high_r1,-0.03589549753814936,-0.012538858689367771,-0.007511705160140991,-0.026569028418482493,0.0,0.0,0.0,0.0,0.038757392006636734,0.026569028418482497,1,377,1788529878.1547217
1788529914.969046,36.796000,mini_dose_high_r1,-0.035559103824198246,-0.012068088166415691,-0.007824629545211792,-0.027347501063260626,0.0,0.0,0.0,0.0,0.03835770384541147,0.027347501063260622,1,377,1788529878.173027
1788529915.014272,36.832000,mini_dose_high_r1,-0.03526079747825861,-0.011625093407928944,-0.008110344409942627,-0.02666782083392721,0.0,0.0,0.0,0.0,0.03800321462710397,0.02666782083392721,1,377,1788529878.1822531
1788529915.061661,36.864000,mini_dose_high_r1,-0.03494804818183184,-0.011077932082116604,-0.008386731147766113,-0.027672321618113324,0.0,0.0,0.0,0.0,0.037608827557909036,0.027672321618113324,1,377,1788529878.1976416
1788529915.106741,36.896000,mini_dose_high_r1,-0.03473778907209635,-0.010639035142958164,-0.008490979671478271,-0.028140329679657936,0.0,0.0,0.0,0.0,0.03730951345397059,0.028140329679657943,1,377,1788529878.210723
1788529915.153632,36.928000,mini_dose_high_r1,-0.03457621205598116,-0.01032319013029337,-0.008492618799209595,-0.028006954041685784,0.0,0.0,0.0,0.0,0.03707030170736477,0.028006954041685784,1,377,1788529878.2256112
1788529915.203279,36.964000,mini_dose_high_r1,-0.03432199079543352,-0.009811011143028736,-0.0084209144115448,-0.028748077846239246,0.0,0.0,0.0,0.0,0.03667651552883698,0.028748077846239246,1,377,1788529878.239263
1788529915.248885,36.996000,mini_dose_high_r1,-0.03411972988396883,-0.009384066797792912,-0.008286088705062866,-0.0288437496308123,0.0,0.0,0.0,0.0,0.03634385701942772,0.0288437496308123,1,377,1788529878.2528703
1788529915.298328,37.028000,mini_dose_high_r1,-0.03393146116286516,-0.008973761461675167,-0.008121073246002197,-0.028731408099210504,0.0,0.0,0.0,0.0,0.03602532834111309,0.028731408099210504,1,377,1788529878.270303
1788529915.342145,37.060000,mini_dose_high_r1,-0.033647806383669376,-0.008475673384964466,-0.00769767165184021,-0.029558003730017535,0.0,0.0,0.0,0.0,0.035542454369683604,0.029558003730017535,1,377,1788529878.2821257
1788529915.390554,37.096000,mini_dose_high_r1,-0.033321225084364414,-0.00809627678245306,-0.00724521279335022,-0.02996089433975959,0.0,0.0,0.0,0.0,0.035047779491458375,0.02996089433975959,1,377,1788529878.2945337
1788529915.437644,37.128000,mini_dose_high_r1,-0.03300118912011385,-0.007819402031600475,-0.006898015737533569,-0.029960607023661465,0.0,0.0,0.0,0.0,0.034609307311597254,0.029960607023661465,1,377,1788529878.3096285
1788529915.483218,37.160000,mini_dose_high_r1,-0.032480751164257526,-0.007444367744028568,-0.006489425897598267,-0.03042836280453905,0.0,0.0,0.0,0.0,0.03394893894929809,0.03042836280453905,1,377,1788529878.3232002
1788529915.533235,37.192000,mini_dose_high_r1,-0.03168310318142176,-0.006987982429563999,-0.006080061197280884,-0.030513103513538448,0.0,0.0,0.0,0.0,0.033009363365614816,0.030513103513538448,1,377,1788529878.3412168
1788529915.578964,37.228000,mini_dose_high_r1,-0.030968193896114826,-0.006638647057116032,-0.0058602988719940186,-0.03026354293191544,0.0,0.0,0.0,0.0,0.03220937395860735,0.03026354293191544,1,377,1788529878.3509452
1788529915.624906,37.260000,mini_dose_high_r1,-0.030205179937183857,-0.00628743227571249,-0.005745142698287964,-0.030177942178720364,0.0,0.0,0.0,0.0,0.031382978894346804,0.030177942178720364,1,377,1788529878.3648875
1788529915.669708,37.292000,mini_dose_high_r1,-0.029637963511049747,-0.006016303785145283,-0.005686968564987183,-0.029562470512991743,0.0,0.0,0.0,0.0,0.03077249427291558,0.029562470512991743,1,377,1788529878.3776917
1788529915.721700,37.324000,mini_dose_high_r1,-0.028667577542364597,-0.005507589317858219,-0.005722492933273315,-0.02961414457588016,0.0,0.0,0.0,0.0,0.029747444724094137,0.02961414457588016,1,377,1788529878.3976812
1788529915.765624,37.360000,mini_dose_high_r1,-0.027874638326466084,-0.0051044886931777,-0.005879312753677368,-0.029214323084288153,0.0,0.0,0.0,0.0,0.028941623746874055,0.029214323084288153,1,377,1788529878.4056094
1788529915.814779,37.392000,mini_dose_high_r1,-0.02700063306838274,-0.004765390418469906,-0.006085127592086792,-0.028479681916242106,0.0,0.0,0.0,0.0,0.028085083402864666,0.028479681916242106,1,377,1788529878.422758
1788529915.862652,37.424000,mini_dose_high_r1,-0.025769744999706745,-0.004363612271845341,-0.006383448839187622,-0.02870124448533629,0.0,0.0,0.0,0.0,0.02690481905702835,0.02870124448533629,1,377,1788529878.4386315
1788529915.918896,37.456000,mini_dose_high_r1,-0.024679728783667088,-0.0040018511936068535,-0.006602585315704346,-0.029179134557999503,0.0,0.0,0.0,0.0,0.02585919485719331,0.029179134557999496,1,377,1788529878.4628778
1788529916.024684,37.492000,mini_dose_high_r1,-0.023810782469809055,-0.0037219012156128883,-0.00675731897354126,-0.02993047977901895,0.0,0.0,0.0,0.0,0.025029328201003072,0.02993047977901895,1,377,1788529878.5326555
1788529916.073485,37.524000,mini_dose_high_r1,-0.022336949594318867,-0.0032459916546940804,-0.006985068321228027,-0.031320631473060315,0.0,0.0,0.0,0.0,0.023627673572607793,0.03132063147306031,1,377,1788529878.5494578
1788529916.122873,37.556000,mini_dose_high_r1,-0.021167689003050327,-0.0028501125052571297,-0.007172763347625732,-0.03252307451390772,0.0,0.0,0.0,0.0,0.022530928366659105,0.03252307451390772,1,377,1788529878.5668547
1788529916.168727,37.588000,mini_dose_high_r1,-0.02028305921703577,-0.0025305235758423805,-0.007336050271987915,-0.03311054755292532,0.0,0.0,0.0,0.0,0.021716898359637082,0.03311054755292532,1,377,1788529878.5807104
1788529916.214365,37.624000,mini_dose_high_r1,-0.01880109403282404,-0.0019504250958561897,-0.00767970085144043,-0.03376334339905737,0.0,0.0,0.0,0.0,0.02040252680560063,0.03376334339905737,1,377,1788529878.5903404
