t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788529587.493557,2.0,620.0,8188.0,62.0
1788529587.697643,2.0,620.0,8188.0,62.0
1788529587.899448,2.0,620.0,8188.0,62.0
1788529588.099633,2.0,620.0,8188.0,62.0
1788529588.299830,2.0,620.0,8188.0,62.0
1788529588.500031,2.0,620.0,8188.0,62.0
1788529588.700225,2.0,626.0,8188.0,62.0
1788529588.900417,2.0,793.0,8188.0,62.0
1788529589.100453,2.0,791.0,8188.0,62.0
1788529589.300647,100.0,793.0,8188.0,72.0
1788529589.500839,100.0,791.0,8188.0,72.0
1788529589.701072,100.0,791.0,8188.0,73.0
1788529589.901249,100.0,793.0,8188.0,73.0
1788529590.101446,100.0,793.0,8188.0,73.0
1788529590.301642,100.0,791.0,8188.0,73.0
1788529590.501842,100.0,791.0,8188.0,73.0
1788529590.702038,100.0,791.0,8188.0,74.0
1788529590.902234,100.0,791.0,8188.0,74.0
1788529591.102428,100.0,793.0,8188.0,74.0
1788529591.302452,100.0,791.0,8188.0,74.0
1788529591.502641,100.0,791.0,8188.0,74.0
1788529591.702834,100.0,793.0,8188.0,75.0
1788529591.903034,100.0,791.0,8188.0,75.0
1788529592.103241,100.0,791.0,8188.0,75.0
1788529592.303441,100.0,793.0,8188.0,74.0
1788529592.503641,100.0,791.0,8188.0,74.0
1788529592.703838,100.0,793.0,8188.0,75.0
1788529592.904043,100.0,795.0,8188.0,75.0
1788529593.104239,100.0,793.0,8188.0,75.0
1788529593.304440,100.0,793.0,8188.0,75.0
1788529593.504639,100.0,791.0,8188.0,75.0
1788529593.704833,100.0,791.0,8188.0,76.0
1788529593.904885,100.0,791.0,8188.0,76.0
1788529594.105448,100.0,791.0,8188.0,76.0
1788529594.305641,100.0,793.0,8188.0,76.0
1788529594.505833,100.0,793.0,8188.0,76.0
1788529594.706027,100.0,793.0,8188.0,76.0
1788529594.906229,100.0,791.0,8188.0,76.0
1788529595.106453,100.0,791.0,8188.0,76.0
1788529595.306651,100.0,791.0,8188.0,77.0
1788529595.506995,100.0,791.0,8188.0,77.0
1788529595.707190,100.0,791.0,8188.0,77.0
1788529595.907385,100.0,791.0,8188.0,77.0
1788529596.107457,100.0,793.0,8188.0,77.0
1788529596.307652,100.0,793.0,8188.0,76.0
1788529596.507846,100.0,793.0,8188.0,76.0
1788529596.708044,100.0,791.0,8188.0,77.0
1788529596.908238,100.0,791.0,8188.0,77.0
1788529597.108444,100.0,791.0,8188.0,77.0
1788529597.308642,100.0,791.0,8188.0,77.0
1788529597.508836,100.0,791.0,8188.0,77.0
1788529597.709031,100.0,793.0,8188.0,77.0
1788529597.909225,100.0,793.0,8188.0,77.0
1788529598.109421,100.0,793.0,8188.0,77.0
1788529598.309459,100.0,795.0,8188.0,77.0
1788529598.509652,100.0,791.0,8188.0,77.0
1788529598.709844,100.0,791.0,8188.0,77.0
1788529598.910048,100.0,791.0,8188.0,77.0
1788529599.110241,100.0,793.0,8188.0,77.0
1788529599.310438,100.0,793.0,8188.0,77.0
1788529599.510631,100.0,891.0,8188.0,77.0
1788529599.710823,100.0,891.0,8188.0,77.0
1788529599.911023,100.0,957.0,8188.0,77.0
1788529600.111221,100.0,957.0,8188.0,77.0
1788529600.311415,100.0,957.0,8188.0,77.0
1788529600.511456,100.0,957.0,8188.0,77.0
1788529600.711658,100.0,957.0,8188.0,78.0
1788529600.911850,100.0,959.0,8188.0,78.0
1788529601.112045,100.0,957.0,8188.0,78.0
1788529601.312240,100.0,957.0,8188.0,77.0
1788529601.512439,100.0,957.0,8188.0,77.0
1788529601.712651,100.0,957.0,8188.0,78.0
1788529601.912849,100.0,959.0,8188.0,78.0
1788529602.113057,100.0,957.0,8188.0,78.0
1788529602.313251,100.0,957.0,8188.0,78.0
1788529602.513445,100.0,959.0,8188.0,78.0
1788529602.713662,100.0,963.0,8188.0,78.0
1788529602.913859,100.0,959.0,8188.0,78.0
1788529603.114055,100.0,959.0,8188.0,78.0
1788529603.314253,100.0,959.0,8188.0,79.0
1788529603.514461,100.0,959.0,8188.0,79.0
1788529603.714660,100.0,959.0,8188.0,78.0
1788529603.914864,100.0,961.0,8188.0,78.0
1788529604.115067,100.0,959.0,8188.0,78.0
1788529604.315260,100.0,959.0,8188.0,78.0
1788529604.515451,100.0,959.0,8188.0,78.0
1788529604.715648,100.0,959.0,8188.0,78.0
1788529604.915839,100.0,963.0,8188.0,78.0
1788529605.116036,100.0,959.0,8188.0,78.0
1788529605.316230,100.0,959.0,8188.0,78.0
1788529605.516425,100.0,959.0,8188.0,78.0
1788529605.716456,100.0,959.0,8188.0,78.0
1788529605.916651,100.0,961.0,8188.0,78.0
1788529606.116843,100.0,959.0,8188.0,78.0
1788529606.317033,100.0,959.0,8188.0,78.0
1788529606.517230,100.0,959.0,8188.0,78.0
1788529606.717422,100.0,959.0,8188.0,78.0
1788529606.917450,100.0,959.0,8188.0,78.0
1788529607.117655,100.0,961.0,8188.0,78.0
1788529607.317852,100.0,959.0,8188.0,79.0
1788529607.518048,100.0,959.0,8188.0,79.0
1788529607.718243,100.0,959.0,8188.0,79.0
1788529607.918448,100.0,961.0,8188.0,79.0
1788529608.118643,100.0,959.0,8188.0,79.0
1788529608.318838,100.0,959.0,8188.0,79.0
1788529608.519032,100.0,959.0,8188.0,79.0
1788529608.719226,100.0,959.0,8188.0,79.0
1788529608.919417,100.0,959.0,8188.0,79.0
1788529609.119451,100.0,959.0,8188.0,79.0
1788529609.319651,100.0,959.0,8188.0,79.0
1788529609.519845,100.0,959.0,8188.0,79.0
1788529609.720038,100.0,959.0,8188.0,79.0
1788529609.920234,100.0,961.0,8188.0,79.0
1788529610.120427,100.0,959.0,8188.0,79.0
1788529610.320539,100.0,959.0,8188.0,78.0
1788529610.520732,100.0,959.0,8188.0,78.0
1788529610.720927,100.0,963.0,8188.0,79.0
1788529610.921122,100.0,961.0,8188.0,79.0
1788529611.121316,100.0,959.0,8188.0,79.0
1788529611.321451,100.0,959.0,8188.0,79.0
1788529611.521645,100.0,959.0,8188.0,79.0
1788529611.721847,100.0,963.0,8188.0,79.0
1788529611.922038,100.0,963.0,8188.0,79.0
1788529612.122233,100.0,959.0,8188.0,79.0
1788529612.322427,100.0,1023.0,8188.0,79.0
1788529612.522450,100.0,1119.0,8188.0,79.0
1788529612.722648,100.0,1119.0,8188.0,79.0
1788529612.922844,100.0,1121.0,8188.0,79.0
1788529613.123043,100.0,1119.0,8188.0,79.0
1788529613.323235,100.0,1119.0,8188.0,79.0
1788529613.523429,100.0,1119.0,8188.0,79.0
1788529613.723452,100.0,1119.0,8188.0,79.0
1788529613.923656,100.0,1121.0,8188.0,79.0
1788529614.123847,100.0,1119.0,8188.0,79.0
1788529614.324042,100.0,1119.0,8188.0,79.0
1788529614.524235,100.0,1119.0,8188.0,79.0
1788529614.724429,100.0,1119.0,8188.0,80.0
1788529614.924453,100.0,1119.0,8188.0,80.0
1788529615.124650,100.0,1121.0,8188.0,80.0
1788529615.324845,100.0,1119.0,8188.0,79.0
1788529615.525042,100.0,1119.0,8188.0,79.0
1788529615.725239,100.0,1119.0,8188.0,80.0
1788529615.925444,100.0,1119.0,8188.0,80.0
1788529616.125639,100.0,1119.0,8188.0,80.0
1788529616.325830,100.0,1119.0,8188.0,81.0
1788529616.526033,100.0,1119.0,8188.0,81.0
1788529616.726228,100.0,1119.0,8188.0,80.0
