t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788529260.829006,1.0,622.0,8188.0,61.0
1788529261.029206,1.0,620.0,8188.0,61.0
1788529261.229384,1.0,620.0,8188.0,61.0
1788529261.429463,1.0,620.0,8188.0,61.0
1788529261.629658,1.0,620.0,8188.0,61.0
1788529261.829861,1.0,622.0,8188.0,61.0
1788529262.030066,1.0,620.0,8188.0,61.0
1788529262.230265,2.0,620.0,8188.0,61.0
1788529262.430453,2.0,622.0,8188.0,61.0
1788529262.630654,2.0,620.0,8188.0,61.0
1788529262.830849,2.0,620.0,8188.0,61.0
1788529263.032486,2.0,620.0,8188.0,61.0
1788529263.232670,0.0,620.0,8188.0,61.0
1788529263.432864,0.0,620.0,8188.0,61.0
1788529263.633062,0.0,620.0,8188.0,61.0
1788529263.833256,0.0,620.0,8188.0,61.0
1788529264.033451,0.0,620.0,8188.0,61.0
1788529264.233676,2.0,620.0,8188.0,61.0
1788529264.433874,2.0,620.0,8188.0,61.0
1788529264.634071,2.0,620.0,8188.0,61.0
1788529264.834266,2.0,620.0,8188.0,61.0
1788529265.034460,2.0,620.0,8188.0,61.0
1788529265.234655,2.0,620.0,8188.0,61.0
1788529265.434851,2.0,620.0,8188.0,61.0
1788529265.635045,2.0,620.0,8188.0,61.0
1788529265.835245,2.0,620.0,8188.0,61.0
1788529266.035463,2.0,620.0,8188.0,61.0
1788529266.235660,2.0,620.0,8188.0,61.0
1788529266.435857,2.0,620.0,8188.0,61.0
1788529266.636053,2.0,620.0,8188.0,61.0
1788529266.836263,2.0,620.0,8188.0,61.0
1788529267.036458,2.0,620.0,8188.0,61.0
1788529267.236649,1.0,620.0,8188.0,61.0
1788529267.436844,1.0,620.0,8188.0,61.0
1788529267.637038,1.0,622.0,8188.0,61.0
1788529267.837229,1.0,620.0,8188.0,61.0
1788529268.037429,1.0,620.0,8188.0,61.0
1788529268.237457,2.0,620.0,8188.0,61.0
1788529268.437654,2.0,620.0,8188.0,61.0
1788529268.637847,2.0,622.0,8188.0,61.0
1788529268.838045,2.0,620.0,8188.0,61.0
1788529269.038246,2.0,620.0,8188.0,61.0
1788529269.238452,2.0,620.0,8188.0,61.0
1788529269.438649,2.0,620.0,8188.0,61.0
1788529269.638873,2.0,620.0,8188.0,61.0
1788529269.839067,2.0,620.0,8188.0,61.0
1788529270.039264,2.0,620.0,8188.0,61.0
1788529270.239451,1.0,620.0,8188.0,61.0
1788529270.439647,1.0,620.0,8188.0,61.0
1788529270.639845,1.0,620.0,8188.0,61.0
1788529270.840039,1.0,620.0,8188.0,61.0
1788529271.040235,1.0,620.0,8188.0,61.0
