t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788592879.872540,2.0,620.0,8188.0,59.0
1788592880.073762,2.0,620.0,8188.0,59.0
1788592880.273965,2.0,620.0,8188.0,59.0
1788592880.474177,2.0,622.0,8188.0,59.0
1788592880.674371,2.0,620.0,8188.0,59.0
1788592880.874567,2.0,622.0,8188.0,59.0
1788592881.074756,2.0,620.0,8188.0,59.0
1788592881.274970,2.0,620.0,8188.0,59.0
1788592881.475167,2.0,620.0,8188.0,59.0
1788592881.675368,2.0,620.0,8188.0,59.0
1788592881.875568,2.0,622.0,8188.0,59.0
1788592882.076762,2.0,620.0,8188.0,59.0
1788592882.276936,2.0,622.0,8188.0,59.0
1788592882.477149,2.0,620.0,8188.0,59.0
1788592882.677360,2.0,620.0,8188.0,59.0
1788592882.877555,1.0,620.0,8188.0,59.0
1788592883.077769,1.0,620.0,8188.0,59.0
1788592883.277962,1.0,620.0,8188.0,59.0
1788592883.478156,1.0,620.0,8188.0,59.0
1788592883.678348,1.0,620.0,8188.0,59.0
1788592883.878566,2.0,622.0,8188.0,59.0
1788592884.078752,2.0,622.0,8188.0,59.0
1788592884.278945,2.0,620.0,8188.0,59.0
1788592884.479136,2.0,622.0,8188.0,59.0
1788592884.679354,2.0,620.0,8188.0,59.0
1788592884.879553,2.0,620.0,8188.0,59.0
1788592885.079760,2.0,620.0,8188.0,59.0
1788592885.279903,2.0,620.0,8188.0,59.0
1788592885.480104,2.0,620.0,8188.0,59.0
1788592885.680347,2.0,622.0,8188.0,59.0
1788592885.880544,2.0,622.0,8188.0,59.0
1788592886.080671,2.0,622.0,8188.0,59.0
1788592886.280884,2.0,622.0,8188.0,59.0
1788592886.481085,2.0,622.0,8188.0,59.0
1788592886.681282,2.0,620.0,8188.0,59.0
1788592886.881427,1.0,620.0,8188.0,59.0
1788592887.081620,1.0,620.0,8188.0,59.0
1788592887.281790,1.0,620.0,8188.0,59.0
1788592887.481986,1.0,620.0,8188.0,59.0
1788592887.682203,1.0,620.0,8188.0,59.0
1788592887.882396,2.0,620.0,8188.0,59.0
1788592888.082587,2.0,620.0,8188.0,59.0
1788592888.282766,2.0,620.0,8188.0,59.0
1788592888.482966,2.0,620.0,8188.0,59.0
1788592888.683161,2.0,620.0,8188.0,59.0
1788592888.883355,2.0,620.0,8188.0,59.0
1788592889.083547,2.0,620.0,8188.0,59.0
1788592889.283747,2.0,620.0,8188.0,59.0
1788592889.483949,2.0,620.0,8188.0,59.0
1788592889.684164,2.0,620.0,8188.0,59.0
1788592889.884357,2.0,620.0,8188.0,59.0
1788592890.084552,2.0,620.0,8188.0,59.0
1788592890.284749,2.0,620.0,8188.0,59.0
1788592890.484945,2.0,620.0,8188.0,59.0
1788592890.685140,2.0,620.0,8188.0,59.0
1788592890.885334,1.0,620.0,8188.0,59.0
1788592891.085533,1.0,620.0,8188.0,59.0
1788592891.285730,1.0,720.0,8188.0,59.0
1788592891.485763,1.0,720.0,8188.0,59.0
1788592891.685977,1.0,722.0,8188.0,59.0
1788592891.886169,3.0,722.0,8188.0,59.0
1788592892.086362,3.0,720.0,8188.0,59.0
1788592892.286554,3.0,720.0,8188.0,59.0
1788592892.486913,3.0,720.0,8188.0,59.0
1788592892.687120,3.0,720.0,8188.0,59.0
1788592892.887336,2.0,786.0,8188.0,59.0
1788592893.087559,2.0,786.0,8188.0,59.0
1788592893.287756,2.0,786.0,8188.0,59.0
1788592893.487951,2.0,786.0,8188.0,59.0
1788592893.688148,2.0,786.0,8188.0,59.0
1788592893.888345,6.0,786.0,8188.0,59.0
1788592894.088539,6.0,786.0,8188.0,59.0
1788592894.288743,6.0,786.0,8188.0,59.0
1788592894.488782,6.0,786.0,8188.0,59.0
1788592894.688974,6.0,786.0,8188.0,59.0
1788592894.889165,1.0,786.0,8188.0,59.0
1788592895.089377,1.0,786.0,8188.0,59.0
1788592895.289595,1.0,786.0,8188.0,59.0
1788592895.489754,1.0,786.0,8188.0,59.0
1788592895.689949,1.0,786.0,8188.0,59.0
1788592895.890154,4.0,786.0,8188.0,59.0
1788592896.090363,4.0,786.0,8188.0,59.0
1788592896.290559,4.0,786.0,8188.0,59.0
1788592896.490759,4.0,786.0,8188.0,59.0
1788592896.690957,4.0,786.0,8188.0,59.0
1788592896.891166,1.0,786.0,8188.0,59.0
1788592897.091366,1.0,788.0,8188.0,59.0
1788592897.291560,1.0,788.0,8188.0,59.0
1788592897.491775,1.0,788.0,8188.0,59.0
1788592897.691850,1.0,786.0,8188.0,59.0
1788592897.892035,1.0,786.0,8188.0,59.0
1788592898.092232,1.0,786.0,8188.0,59.0
1788592898.292432,1.0,786.0,8188.0,59.0
1788592898.492644,1.0,786.0,8188.0,59.0
1788592898.692761,1.0,786.0,8188.0,59.0
1788592898.892962,1.0,786.0,8188.0,59.0
1788592899.093153,1.0,786.0,8188.0,59.0
1788592899.293354,1.0,786.0,8188.0,59.0
1788592899.493556,1.0,786.0,8188.0,59.0
1788592899.693754,1.0,786.0,8188.0,59.0
1788592899.893951,2.0,786.0,8188.0,59.0
1788592900.094161,2.0,786.0,8188.0,59.0
1788592900.294375,2.0,786.0,8188.0,59.0
1788592900.494567,2.0,786.0,8188.0,59.0
1788592900.694771,2.0,786.0,8188.0,59.0
1788592900.894961,3.0,786.0,8188.0,59.0
1788592901.095165,3.0,786.0,8188.0,59.0
1788592901.295362,3.0,786.0,8188.0,59.0
1788592901.495560,3.0,786.0,8188.0,59.0
1788592901.695769,3.0,786.0,8188.0,59.0
1788592901.895963,4.0,786.0,8188.0,59.0
1788592902.096160,4.0,786.0,8188.0,59.0
1788592902.296354,4.0,786.0,8188.0,59.0
1788592902.496547,4.0,786.0,8188.0,59.0
1788592902.696745,4.0,788.0,8188.0,59.0
1788592902.896945,3.0,786.0,8188.0,59.0
1788592903.097139,3.0,786.0,8188.0,59.0
1788592903.297332,3.0,786.0,8188.0,59.0
1788592903.497609,3.0,786.0,8188.0,59.0
1788592903.697778,3.0,788.0,8188.0,59.0
1788592903.897978,1.0,786.0,8188.0,59.0
1788592904.098174,1.0,818.0,8188.0,59.0
1788592904.298387,1.0,818.0,8188.0,59.0
1788592904.498582,1.0,946.0,8188.0,59.0
1788592904.698772,1.0,946.0,8188.0,59.0
1788592904.898977,3.0,946.0,8188.0,59.0
1788592905.099184,3.0,946.0,8188.0,59.0
1788592905.299375,3.0,946.0,8188.0,59.0
1788592905.499567,3.0,948.0,8188.0,59.0
1788592905.699887,3.0,946.0,8188.0,59.0
1788592905.900071,2.0,946.0,8188.0,59.0
1788592906.100264,2.0,946.0,8188.0,59.0
1788592906.300457,2.0,946.0,8188.0,59.0
1788592906.500794,2.0,946.0,8188.0,59.0
1788592906.700989,2.0,946.0,8188.0,59.0
1788592906.901170,1.0,946.0,8188.0,59.0
1788592907.101376,1.0,948.0,8188.0,59.0
1788592907.301573,1.0,946.0,8188.0,59.0
1788592907.501756,1.0,948.0,8188.0,59.0
1788592907.701978,1.0,946.0,8188.0,59.0
