t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788681708.644619,1.0,620.0,8188.0,59.0
1788681708.844811,1.0,620.0,8188.0,59.0
1788681709.044880,1.0,620.0,8188.0,59.0
1788681709.245075,1.0,620.0,8188.0,59.0
1788681709.445283,2.0,620.0,8188.0,59.0
1788681709.645477,2.0,622.0,8188.0,59.0
1788681709.845675,2.0,620.0,8188.0,59.0
1788681710.045897,2.0,620.0,8188.0,59.0
1788681710.246140,2.0,620.0,8188.0,59.0
1788681710.446337,1.0,620.0,8188.0,59.0
1788681710.646533,1.0,620.0,8188.0,59.0
1788681710.846876,1.0,620.0,8188.0,59.0
1788681711.047044,1.0,620.0,8188.0,59.0
1788681711.247239,1.0,620.0,8188.0,59.0
1788681711.447433,2.0,620.0,8188.0,59.0
1788681711.647642,2.0,620.0,8188.0,59.0
1788681711.847836,2.0,622.0,8188.0,59.0
1788681712.047891,2.0,620.0,8188.0,59.0
1788681712.248084,2.0,622.0,8188.0,59.0
1788681712.448278,2.0,620.0,8188.0,59.0
1788681712.648472,2.0,620.0,8188.0,59.0
1788681712.848674,2.0,620.0,8188.0,59.0
1788681713.049012,2.0,620.0,8188.0,59.0
1788681713.249211,2.0,620.0,8188.0,59.0
1788681713.449418,2.0,620.0,8188.0,59.0
1788681713.649611,2.0,620.0,8188.0,59.0
1788681713.849807,2.0,620.0,8188.0,59.0
1788681714.049879,2.0,622.0,8188.0,59.0
1788681714.250074,2.0,620.0,8188.0,59.0
1788681714.450269,2.0,620.0,8188.0,59.0
1788681714.650467,2.0,620.0,8188.0,59.0
1788681714.850679,2.0,620.0,8188.0,59.0
1788681715.050872,2.0,620.0,8188.0,59.0
1788681715.251069,2.0,620.0,8188.0,59.0
1788681715.451260,2.0,620.0,8188.0,59.0
1788681715.651466,2.0,620.0,8188.0,59.0
1788681715.851658,2.0,620.0,8188.0,59.0
1788681716.051853,2.0,620.0,8188.0,59.0
1788681716.251884,2.0,622.0,8188.0,59.0
1788681716.452016,2.0,620.0,8188.0,59.0
1788681716.652212,2.0,620.0,8188.0,59.0
1788681716.852409,2.0,620.0,8188.0,60.0
1788681717.052607,2.0,620.0,8188.0,60.0
1788681717.252802,2.0,622.0,8188.0,60.0
1788681717.452878,2.0,620.0,8188.0,60.0
1788681717.653070,2.0,622.0,8188.0,60.0
1788681717.853265,2.0,620.0,8188.0,60.0
1788681718.053465,2.0,620.0,8188.0,60.0
1788681718.253658,2.0,620.0,8188.0,60.0
1788681718.453724,2.0,620.0,8188.0,60.0
1788681718.653880,2.0,620.0,8188.0,60.0
1788681718.854075,2.0,620.0,8188.0,60.0
1788681719.054272,2.0,620.0,8188.0,60.0
1788681719.254469,2.0,620.0,8188.0,60.0
1788681719.454666,2.0,620.0,8188.0,60.0
1788681719.654890,2.0,620.0,8188.0,60.0
1788681719.855085,2.0,620.0,8188.0,60.0
1788681720.055280,2.0,620.0,8188.0,60.0
1788681720.255476,2.0,620.0,8188.0,60.0
1788681720.455669,2.0,620.0,8188.0,60.0
1788681720.655877,2.0,620.0,8188.0,60.0
1788681720.856068,2.0,622.0,8188.0,60.0
1788681721.056262,2.0,620.0,8188.0,60.0
1788681721.256462,2.0,620.0,8188.0,60.0
1788681721.456588,2.0,620.0,8188.0,60.0
1788681721.656780,2.0,620.0,8188.0,60.0
1788681721.856884,2.0,620.0,8188.0,60.0
1788681722.057077,2.0,622.0,8188.0,60.0
1788681722.257271,2.0,620.0,8188.0,60.0
1788681722.457469,3.0,720.0,8188.0,60.0
1788681722.657661,3.0,786.0,8188.0,60.0
1788681722.857860,3.0,786.0,8188.0,60.0
1788681723.058058,3.0,786.0,8188.0,60.0
1788681723.258587,3.0,786.0,8188.0,60.0
1788681723.458779,6.0,786.0,8188.0,60.0
1788681723.658880,6.0,786.0,8188.0,60.0
1788681723.859089,6.0,786.0,8188.0,60.0
1788681724.059282,6.0,786.0,8188.0,60.0
1788681724.259473,6.0,786.0,8188.0,60.0
1788681724.459668,2.0,786.0,8188.0,60.0
1788681724.659870,2.0,786.0,8188.0,60.0
1788681724.860062,2.0,786.0,8188.0,60.0
1788681725.060255,2.0,786.0,8188.0,60.0
1788681725.260452,2.0,786.0,8188.0,60.0
1788681725.460653,4.0,786.0,8188.0,60.0
1788681725.660849,4.0,786.0,8188.0,60.0
1788681725.860886,4.0,788.0,8188.0,60.0
1788681726.061081,4.0,786.0,8188.0,60.0
1788681726.261250,4.0,786.0,8188.0,60.0
