t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788587758.807578,1.0,622.0,8188.0,51.0
1788587759.007778,1.0,620.0,8188.0,51.0
1788587759.207965,1.0,622.0,8188.0,51.0
1788587759.408160,1.0,620.0,8188.0,51.0
1788587759.608362,1.0,620.0,8188.0,51.0
1788587759.808558,2.0,620.0,8188.0,51.0
1788587760.008762,2.0,622.0,8188.0,51.0
1788587760.208894,2.0,620.0,8188.0,51.0
1788587760.409088,2.0,622.0,8188.0,51.0
1788587760.609284,2.0,620.0,8188.0,51.0
1788587760.809363,2.0,620.0,8188.0,51.0
1788587761.009558,2.0,620.0,8188.0,51.0
1788587761.209730,2.0,622.0,8188.0,51.0
1788587761.409935,2.0,620.0,8188.0,51.0
1788587761.610132,2.0,620.0,8188.0,51.0
1788587761.810326,2.0,620.0,8188.0,51.0
1788587762.010355,2.0,620.0,8188.0,51.0
1788587762.210629,2.0,620.0,8188.0,51.0
1788587762.410830,2.0,620.0,8188.0,51.0
1788587762.611021,2.0,620.0,8188.0,51.0
1788587762.811215,2.0,620.0,8188.0,52.0
1788587763.011362,2.0,620.0,8188.0,52.0
1788587763.211554,2.0,622.0,8188.0,52.0
1788587763.411750,2.0,620.0,8188.0,52.0
1788587763.611943,2.0,620.0,8188.0,52.0
1788587763.812138,2.0,622.0,8188.0,52.0
1788587764.012331,2.0,620.0,8188.0,52.0
1788587764.212351,2.0,620.0,8188.0,52.0
1788587764.412548,2.0,620.0,8188.0,52.0
1788587764.612747,2.0,620.0,8188.0,52.0
1788587764.812943,2.0,620.0,8188.0,52.0
1788587765.013143,2.0,620.0,8188.0,52.0
1788587765.213347,2.0,620.0,8188.0,52.0
1788587765.413541,2.0,620.0,8188.0,52.0
1788587765.613734,2.0,620.0,8188.0,52.0
1788587765.813930,2.0,620.0,8188.0,52.0
1788587766.014122,2.0,620.0,8188.0,52.0
1788587766.214343,2.0,620.0,8188.0,52.0
1788587766.414536,2.0,620.0,8188.0,52.0
1788587766.614731,2.0,620.0,8188.0,52.0
1788587766.814927,2.0,620.0,8188.0,52.0
1788587767.015121,2.0,620.0,8188.0,52.0
1788587767.215324,2.0,620.0,8188.0,52.0
1788587767.415350,2.0,620.0,8188.0,52.0
1788587767.615544,2.0,620.0,8188.0,52.0
1788587767.815735,2.0,620.0,8188.0,52.0
1788587768.015930,2.0,620.0,8188.0,52.0
1788587768.216125,2.0,620.0,8188.0,52.0
1788587768.416317,2.0,620.0,8188.0,52.0
1788587768.616378,2.0,620.0,8188.0,52.0
1788587768.816571,3.0,620.0,8188.0,52.0
1788587769.016768,3.0,622.0,8188.0,52.0
1788587769.216971,3.0,620.0,8188.0,52.0
1788587769.417163,3.0,720.0,8188.0,52.0
1788587769.617351,3.0,786.0,8188.0,52.0
1788587769.817545,15.0,786.0,8188.0,52.0
1788587770.017745,15.0,786.0,8188.0,52.0
1788587770.217935,15.0,786.0,8188.0,52.0
1788587770.418132,15.0,786.0,8188.0,52.0
1788587770.618344,15.0,786.0,8188.0,52.0
1788587770.818542,4.0,786.0,8188.0,52.0
1788587771.018737,4.0,786.0,8188.0,52.0
1788587771.218934,4.0,786.0,8188.0,52.0
1788587771.419129,4.0,786.0,8188.0,52.0
1788587771.619322,4.0,786.0,8188.0,52.0
1788587771.819355,3.0,786.0,8188.0,52.0
1788587772.019549,3.0,788.0,8188.0,52.0
1788587772.219748,3.0,786.0,8188.0,52.0
1788587772.419943,3.0,786.0,8188.0,52.0
1788587772.620145,3.0,786.0,8188.0,52.0
1788587772.820338,3.0,786.0,8188.0,52.0
1788587773.020532,3.0,788.0,8188.0,52.0
1788587773.220733,3.0,786.0,8188.0,53.0
1788587773.420926,3.0,786.0,8188.0,53.0
1788587773.621118,3.0,788.0,8188.0,53.0
1788587773.821313,2.0,786.0,8188.0,52.0
1788587774.021363,2.0,786.0,8188.0,52.0
