t,n_voxels_compared,churn,n_total_voxels
44.0,0,,71446
45.0,16388,0.041597,72248
46.0,16634,0.070559,72110
47.0,16610,0.022626,71926
48.0,16569,0.153084,71904
49.0,16559,0.095704,72115
50.0,17762,0.058801,104430
51.0,23073,0.049125,155404
52.0,127,0.000000,252855
53.0,21083,0.035080,257966
54.0,46160,0.025217,259193
55.0,47537,0.006366,251962
56.0,51284,0.014651,264894
57.0,77045,0.037504,325418
58.0,146014,0.027633,533102
59.0,175002,0.007527,608929
60.0,160945,0.013490,536601
61.0,163218,0.003459,512650
62.0,155462,0.001238,484867
63.0,144859,0.000267,449246
64.0,138830,0.004798,417855
65.0,137416,0.031165,488280
66.0,28955,0.014178,303425
67.0,106136,0.065334,554730
68.0,163395,0.002595,638774
69.036,158862,0.015738,641162
70.128,174670,0.012235,592971
71.116,183378,0.006970,645753
72.144,0,,406241
73.0,19614,0.000000,344019
74.0,88217,0.000000,333561
75.0,75150,0.000000,261555
76.0,77128,0.000000,256969
77.0,74194,0.000000,247050
78.0,66543,0.000000,233855
79.0,57936,0.000000,215357
80.0,52589,0.000000,217416
81.0,73831,0.001034,415166
82.0,151296,0.007229,615757
83.0,178679,0.006061,694122
84.168,195460,0.002523,714741
85.408,239861,0.000000,848776
86.792,252182,0.000596,865035
88.176,257757,0.000390,882729
89.596,255601,0.002648,910573
91.084,230171,0.001486,784579
92.368,225550,0.006501,696195
93.524,207806,0.000272,675583
94.668,245174,0.003643,798947
95.964,255441,0.000000,830427
97.332,256463,0.000000,837882
98.668,257385,0.000000,862140
100.076,152,0.000000,434950
