t,replan_count,traj_id,n_matched,delta_p
51.22,1,1,0,
51.508,2,2,6,1.413720
53.0,3,3,0,
54.304,4,4,4,1.290789
55.824,5,5,0,
59.272,6,6,1,2.072525
59.272,7,7,6,0.817329
63.196,8,8,0,
64.656,9,9,0,
65.44,10,10,4,0.882790
67.076,11,11,0,
69.172,12,12,6,1.721389
70.644,13,13,0,
72.14,14,14,0,
73.492,15,15,0,
73.624,16,16,6,0.985042
79.468,17,17,0,
81.512,18,18,2,0.677202
83.592,19,19,13,1.309831
85.604,20,20,5,2.584648
86.132,21,21,15,3.059480
87.98,22,22,7,2.357716
89.004,23,23,5,1.711324
89.992,24,24,5,1.554556
91.28,25,25,0,
92.568,26,26,5,1.758803
93.688,27,27,4,0.803967
94.908,28,28,5,1.487022
96.196,29,29,3,0.511662
98.012,30,30,3,1.430548
98.376,31,31,6,1.572824
