t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788752415.072031,0.0,347.0,8188.0,66.0
1788752415.272219,0.0,347.0,8188.0,66.0
1788752415.472289,0.0,446.0,8188.0,66.0
1788752415.672467,0.0,620.0,8188.0,66.0
1788752415.872596,0.0,620.0,8188.0,66.0
1788752416.072789,2.0,622.0,8188.0,66.0
1788752416.272981,2.0,620.0,8188.0,66.0
1788752416.473191,2.0,1347.0,8188.0,66.0
1788752416.673387,2.0,1599.0,8188.0,66.0
1788752416.873587,2.0,1601.0,8188.0,66.0
1788752417.073781,100.0,1601.0,8188.0,77.0
1788752417.273963,100.0,1599.0,8188.0,77.0
1788752417.474154,100.0,1601.0,8188.0,78.0
1788752417.674351,100.0,1603.0,8188.0,78.0
1788752417.874542,100.0,1601.0,8188.0,78.0
1788752418.074600,100.0,1599.0,8188.0,79.0
1788752418.275114,100.0,1599.0,8188.0,79.0
1788752418.475284,100.0,1599.0,8188.0,78.0
1788752418.675476,100.0,1601.0,8188.0,78.0
1788752418.875607,100.0,1603.0,8188.0,78.0
1788752419.075820,100.0,1599.0,8188.0,78.0
1788752419.276010,100.0,1601.0,8188.0,78.0
1788752419.476203,100.0,1601.0,8188.0,78.0
1788752419.676399,100.0,1601.0,8188.0,78.0
1788752419.876600,100.0,1599.0,8188.0,78.0
1788752420.076795,100.0,1601.0,8188.0,79.0
1788752420.279594,100.0,1599.0,8188.0,79.0
1788752420.479774,100.0,1599.0,8188.0,79.0
1788752420.681597,100.0,1599.0,8188.0,79.0
1788752420.881776,100.0,1599.0,8188.0,79.0
1788752421.081968,100.0,1599.0,8188.0,79.0
1788752421.282162,100.0,1599.0,8188.0,79.0
1788752421.482358,100.0,1601.0,8188.0,79.0
1788752421.682555,100.0,1601.0,8188.0,79.0
1788752421.882603,100.0,1599.0,8188.0,79.0
1788752422.082798,100.0,1599.0,8188.0,79.0
1788752422.282998,100.0,1599.0,8188.0,79.0
