t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788717630.180088,1.0,620.0,8188.0,67.0
1788717630.380301,1.0,620.0,8188.0,67.0
1788717630.580485,1.0,620.0,8188.0,67.0
1788717630.780669,0.0,620.0,8188.0,67.0
1788717630.980698,0.0,620.0,8188.0,67.0
1788717631.180894,0.0,620.0,8188.0,67.0
1788717631.381089,0.0,620.0,8188.0,67.0
1788717631.581290,0.0,1265.0,8188.0,67.0
1788717631.781490,88.0,1263.0,8188.0,76.0
1788717631.981691,88.0,1263.0,8188.0,76.0
1788717632.181881,88.0,1265.0,8188.0,79.0
1788717632.382073,88.0,1263.0,8188.0,79.0
1788717632.582267,88.0,1265.0,8188.0,79.0
1788717632.782470,100.0,1265.0,8188.0,78.0
1788717632.982664,100.0,1265.0,8188.0,78.0
1788717633.182700,100.0,1263.0,8188.0,79.0
1788717633.382896,100.0,1263.0,8188.0,79.0
1788717633.583078,100.0,1265.0,8188.0,79.0
1788717633.783270,100.0,1265.0,8188.0,79.0
1788717633.983470,100.0,1265.0,8188.0,79.0
1788717634.183661,100.0,1263.0,8188.0,79.0
1788717634.383689,100.0,1263.0,8188.0,79.0
1788717634.583884,100.0,1263.0,8188.0,79.0
1788717634.784078,100.0,1265.0,8188.0,79.0
1788717634.984273,100.0,1265.0,8188.0,79.0
1788717635.184471,100.0,1265.0,8188.0,80.0
1788717635.385688,100.0,1263.0,8188.0,80.0
1788717635.585874,100.0,1263.0,8188.0,80.0
1788717635.786069,100.0,1263.0,8188.0,80.0
1788717635.986260,100.0,1265.0,8188.0,80.0
1788717636.186453,100.0,1265.0,8188.0,80.0
1788717636.386655,100.0,1263.0,8188.0,80.0
1788717636.586693,100.0,1265.0,8188.0,80.0
1788717636.786886,100.0,1273.0,8188.0,80.0
1788717636.987078,100.0,1265.0,8188.0,80.0
1788717637.187273,100.0,1265.0,8188.0,81.0
1788717637.387368,100.0,1263.0,8188.0,81.0
1788717637.587559,100.0,1263.0,8188.0,81.0
1788717637.787696,100.0,1265.0,8188.0,81.0
1788717637.987833,100.0,1265.0,8188.0,81.0
1788717638.188025,100.0,1263.0,8188.0,81.0
1788717638.388219,100.0,1263.0,8188.0,81.0
1788717638.588410,100.0,1263.0,8188.0,81.0
1788717638.788603,100.0,1263.0,8188.0,81.0
1788717638.988710,100.0,1263.0,8188.0,81.0
1788717639.188902,100.0,1263.0,8188.0,81.0
1788717639.389094,100.0,1263.0,8188.0,81.0
1788717639.589289,100.0,1265.0,8188.0,81.0
1788717639.789484,100.0,1265.0,8188.0,81.0
1788717639.989691,100.0,1265.0,8188.0,81.0
1788717640.189887,100.0,1263.0,8188.0,81.0
1788717640.390078,100.0,1263.0,8188.0,81.0
1788717640.590270,100.0,1265.0,8188.0,81.0
1788717640.790469,100.0,1263.0,8188.0,81.0
1788717640.990746,100.0,1263.0,8188.0,81.0
1788717641.190936,100.0,1263.0,8188.0,81.0
1788717641.391128,100.0,1263.0,8188.0,81.0
