t_wall,t_sim,exp_id,gt_x,gt_y,gt_z,gt_dyaw_deg,vslam_x,vslam_y,vslam_z,vslam_dyaw_deg,pos_error_m,yaw_error_deg,vo_state,feature_count,msg_age_s
1788722696.131390,37.192000,r2_medium_r108,-6.765499711036682e-05,-0.0005725156515836716,-9.366869926452637e-05,-0.0006616592450315214,0.0,0.0,0.0,0.0,0.0005840592394305462,0.0006616592450315214,,,1788722658.9393713
1788722696.177084,37.228000,r2_medium_r108,-0.00013605598360300064,-0.0011923927813768387,-0.00020191073417663574,-0.0006309042057933554,0.0,0.0,0.0,0.0,0.0012169961874753435,0.0006309042057933554,1,3,1788722658.9490428
1788722696.229470,37.260000,r2_medium_r108,-0.00018624123185873032,-0.001663263887166977,-0.00029081106185913086,-0.0007150558292125964,0.0,0.0,0.0,0.0,0.0016987358913314614,0.0007150558292125964,1,3,1788722658.9694464
1788722696.272430,37.292000,r2_medium_r108,-0.0002645254135131836,-0.002386670559644699,-0.0004895627498626709,-0.001985230161430195,0.0,0.0,0.0,0.0,0.002450681893008997,0.001985230161430195,1,3,1788722658.9804087
1788722696.322589,37.324000,r2_medium_r108,-0.00034271925687789917,-0.003287196159362793,-0.0007596909999847412,-0.002305507634813064,0.0,0.0,0.0,0.0,0.003391201187576793,0.002305507634813064,1,3,1788722658.9985702
1788722696.371066,37.360000,r2_medium_r108,-0.00040418747812509537,-0.003955690190196037,-0.0009650588035583496,-0.0029973364449886433,0.0,0.0,0.0,0.0,0.004091722240403392,0.0029973364449886433,1,3,1788722659.0110474
1788722696.417489,37.392000,r2_medium_r108,-0.000498414970934391,-0.0046170614659786224,-0.0011486411094665527,-0.0028271178916475467,0.0,0.0,0.0,0.0,0.0047838321941966935,0.0028271178916475467,1,3,1788722659.0254695
1788722696.464726,37.424000,r2_medium_r108,-0.0005803769454360008,-0.005135007202625275,-0.0012784004211425781,-0.004424884864218146,0.0,0.0,0.0,0.0,0.005323480441082187,0.004424884864218146,1,3,1788722659.0407102
1788722696.508154,37.456000,r2_medium_r108,-0.0007314989343285561,-0.006037021055817604,-0.0014779865741729736,-0.004791826260557198,0.0,0.0,0.0,0.0,0.006258207269877251,0.004791826260557198,1,3,1788722659.052136
1788722696.557252,37.492000,r2_medium_r108,-0.0008795410394668579,-0.0067597441375255585,-0.00163346529006958,-0.004537870947656545,0.0,0.0,0.0,0.0,0.007009703424452399,0.004537870947656545,1,3,1788722659.065231
1788722696.605329,37.524000,r2_medium_r108,-0.0010443227365612984,-0.00743512250483036,-0.0017836987972259521,-0.004440507441024858,0.0,0.0,0.0,0.0,0.007717074448206333,0.004440507441024858,1,3,1788722659.0813074
1788722696.655215,37.556000,r2_medium_r108,-0.001206904649734497,-0.008222801610827446,-0.0019478201866149902,-0.004934622538757591,0.0,0.0,0.0,0.0,0.008536105004272267,0.004934622538757591,1,3,1788722659.0991962
1788722696.702841,37.588000,r2_medium_r108,-0.0013076867908239365,-0.008827537298202515,-0.002079784870147705,-0.005331693905592599,0.0,0.0,0.0,0.0,0.009163021586799153,0.005331693905592599,1,3,1788722659.1148179
1788722696.748617,37.624000,r2_medium_r108,-0.0013860929757356644,-0.009276196360588074,-0.0021823346614837646,-0.004904226451285628,0.0,0.0,0.0,0.0,0.00962972778599087,0.004904226451285629,1,3,1788722659.1246006
1788722696.795859,37.656000,r2_medium_r108,-0.0015185875818133354,-0.010009019635617733,-0.0023653507232666016,-0.005079297201675909,0.0,0.0,0.0,0.0,0.010396223658323095,0.005079297201675909,1,3,1788722659.139837
1788722696.841029,37.688000,r2_medium_r108,-0.0016332841478288174,-0.010579596273601055,-0.0025010406970977783,-0.004773620877548627,0.0,0.0,0.0,0.0,0.010993210586015423,0.004773620877548627,1,3,1788722659.1530118
1788722696.887462,37.720000,r2_medium_r108,-0.0017811404541134834,-0.01114057470113039,-0.0026330947875976562,-0.005940817826396212,0.0,0.0,0.0,0.0,0.011585251579021493,0.005940817826396212,1,3,1788722659.1674464
