t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788710863.645560,1.0,620.0,8188.0,66.0
1788710863.846690,1.0,620.0,8188.0,66.0
1788710864.047688,1.0,620.0,8188.0,66.0
1788710864.247885,1.0,622.0,8188.0,66.0
1788710864.448082,1.0,620.0,8188.0,66.0
1788710864.648273,1.0,620.0,8188.0,66.0
1788710864.848469,1.0,620.0,8188.0,66.0
1788710865.048666,1.0,889.0,8188.0,66.0
1788710865.248695,1.0,887.0,8188.0,66.0
1788710865.448889,1.0,887.0,8188.0,66.0
1788710865.649080,1.0,887.0,8188.0,77.0
1788710865.849276,1.0,887.0,8188.0,77.0
1788710866.049468,100.0,887.0,8188.0,77.0
1788710866.249658,100.0,887.0,8188.0,77.0
1788710866.449694,100.0,889.0,8188.0,77.0
1788710866.649885,100.0,887.0,8188.0,78.0
1788710866.850086,100.0,887.0,8188.0,78.0
1788710867.050269,100.0,889.0,8188.0,79.0
1788710867.250463,100.0,887.0,8188.0,79.0
1788710867.450652,100.0,887.0,8188.0,79.0
1788710867.650698,100.0,887.0,8188.0,79.0
1788710867.850894,100.0,887.0,8188.0,79.0
1788710868.051086,100.0,887.0,8188.0,79.0
1788710868.251147,100.0,889.0,8188.0,79.0
1788710868.451341,100.0,887.0,8188.0,79.0
1788710868.651532,100.0,887.0,8188.0,79.0
1788710868.851869,100.0,887.0,8188.0,79.0
1788710869.052045,100.0,889.0,8188.0,79.0
1788710869.252238,100.0,887.0,8188.0,79.0
1788710869.452430,100.0,889.0,8188.0,79.0
1788710869.652626,100.0,887.0,8188.0,79.0
1788710869.852693,100.0,889.0,8188.0,79.0
1788710870.052885,100.0,889.0,8188.0,80.0
1788710870.252998,100.0,887.0,8188.0,80.0
1788710870.453189,100.0,887.0,8188.0,80.0
1788710870.653381,100.0,889.0,8188.0,80.0
1788710870.853573,100.0,889.0,8188.0,80.0
1788710871.053696,100.0,889.0,8188.0,80.0
1788710871.253887,100.0,887.0,8188.0,80.0
1788710871.454082,100.0,887.0,8188.0,80.0
1788710871.654277,100.0,887.0,8188.0,80.0
1788710871.854471,100.0,887.0,8188.0,80.0
1788710872.054681,100.0,889.0,8188.0,80.0
1788710872.254874,100.0,889.0,8188.0,80.0
1788710872.455067,100.0,887.0,8188.0,80.0
1788710872.655262,100.0,887.0,8188.0,80.0
1788710872.855456,100.0,887.0,8188.0,80.0
1788710873.055774,100.0,887.0,8188.0,80.0
1788710873.255970,100.0,887.0,8188.0,80.0
1788710873.456161,100.0,889.0,8188.0,80.0
1788710873.656357,100.0,889.0,8188.0,80.0
1788710873.856549,100.0,887.0,8188.0,80.0
1788710874.056692,100.0,889.0,8188.0,81.0
1788710874.256885,100.0,887.0,8188.0,81.0
1788710874.457099,100.0,887.0,8188.0,81.0
1788710874.657297,100.0,887.0,8188.0,81.0
1788710874.857490,100.0,887.0,8188.0,81.0
1788710875.057691,100.0,889.0,8188.0,81.0
1788710875.257887,100.0,887.0,8188.0,81.0
1788710875.458076,100.0,889.0,8188.0,81.0
1788710875.658314,100.0,887.0,8188.0,81.0
1788710875.858510,100.0,887.0,8188.0,81.0
1788710876.058693,100.0,889.0,8188.0,81.0
1788710876.258890,100.0,889.0,8188.0,81.0
1788710876.459085,100.0,887.0,8188.0,81.0
1788710876.659282,100.0,887.0,8188.0,81.0
1788710876.859478,100.0,887.0,8188.0,81.0
1788710877.059680,100.0,887.0,8188.0,81.0
1788710877.259875,100.0,887.0,8188.0,81.0
1788710877.460079,100.0,889.0,8188.0,81.0
1788710877.660274,100.0,889.0,8188.0,81.0
1788710877.860464,100.0,889.0,8188.0,81.0
1788710878.060658,100.0,891.0,8188.0,81.0
1788710878.260695,100.0,887.0,8188.0,81.0
1788710878.460893,100.0,887.0,8188.0,82.0
1788710878.661089,100.0,889.0,8188.0,82.0
1788710878.861284,100.0,887.0,8188.0,82.0
1788710879.061429,100.0,889.0,8188.0,82.0
1788710879.261623,100.0,889.0,8188.0,82.0
1788710879.461703,100.0,887.0,8188.0,82.0
1788710879.661906,100.0,889.0,8188.0,82.0
1788710879.862101,100.0,889.0,8188.0,82.0
1788710880.062294,100.0,889.0,8188.0,82.0
1788710880.262492,100.0,887.0,8188.0,82.0
1788710880.462699,100.0,887.0,8188.0,82.0
1788710880.662895,100.0,887.0,8188.0,82.0
1788710880.863091,100.0,955.0,8188.0,82.0
1788710881.063280,100.0,955.0,8188.0,83.0
1788710881.263469,100.0,953.0,8188.0,83.0
1788710881.463661,100.0,953.0,8188.0,83.0
1788710881.663692,100.0,953.0,8188.0,83.0
1788710881.863910,100.0,1057.0,8188.0,83.0
1788710882.064103,100.0,1053.0,8188.0,83.0
1788710882.264297,100.0,1053.0,8188.0,83.0
1788710882.464495,100.0,1055.0,8188.0,83.0
1788710882.664705,100.0,1053.0,8188.0,83.0
1788710882.864898,100.0,1053.0,8188.0,83.0
1788710883.065098,100.0,1057.0,8188.0,83.0
1788710883.265291,100.0,1053.0,8188.0,83.0
1788710883.465332,100.0,1053.0,8188.0,83.0
1788710883.665528,100.0,1053.0,8188.0,83.0
1788710883.865693,100.0,1053.0,8188.0,83.0
1788710884.065893,100.0,1053.0,8188.0,83.0
1788710884.266089,100.0,1053.0,8188.0,83.0
1788710884.466288,100.0,1055.0,8188.0,83.0
1788710884.666485,100.0,1053.0,8188.0,83.0
1788710884.866685,100.0,1053.0,8188.0,83.0
1788710885.066887,100.0,1053.0,8188.0,83.0
1788710885.267079,100.0,1055.0,8188.0,83.0
1788710885.467278,100.0,1055.0,8188.0,83.0
1788710885.667471,100.0,1055.0,8188.0,83.0
1788710885.867663,100.0,1055.0,8188.0,83.0
1788710886.067711,100.0,1055.0,8188.0,83.0
1788710886.267906,100.0,1055.0,8188.0,83.0
1788710886.468097,100.0,1055.0,8188.0,83.0
1788710886.668320,100.0,1053.0,8188.0,83.0
1788710886.868515,100.0,1055.0,8188.0,83.0
