t_wall,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c
1788720627.035389,2.0,620.0,8188.0,65.0
1788720627.235584,2.0,620.0,8188.0,65.0
1788720627.435690,2.0,620.0,8188.0,65.0
1788720627.635883,2.0,620.0,8188.0,65.0
1788720627.836076,2.0,622.0,8188.0,65.0
1788720628.036275,2.0,620.0,8188.0,66.0
1788720628.236470,2.0,620.0,8188.0,66.0
1788720628.436692,2.0,620.0,8188.0,66.0
1788720628.636886,2.0,620.0,8188.0,66.0
1788720628.837080,2.0,622.0,8188.0,66.0
1788720629.037277,2.0,620.0,8188.0,66.0
1788720629.237473,2.0,620.0,8188.0,66.0
1788720629.437669,2.0,620.0,8188.0,66.0
1788720629.637692,2.0,620.0,8188.0,66.0
1788720629.837887,2.0,620.0,8188.0,66.0
1788720630.038080,2.0,622.0,8188.0,66.0
1788720630.238273,2.0,620.0,8188.0,66.0
1788720630.438461,2.0,620.0,8188.0,66.0
1788720630.638655,2.0,620.0,8188.0,66.0
1788720630.838706,2.0,620.0,8188.0,66.0
1788720631.038908,2.0,620.0,8188.0,66.0
1788720631.239112,2.0,620.0,8188.0,66.0
1788720631.439308,2.0,620.0,8188.0,66.0
1788720631.639500,2.0,622.0,8188.0,66.0
1788720631.839697,2.0,620.0,8188.0,66.0
1788720632.039896,1.0,620.0,8188.0,66.0
1788720632.240131,1.0,620.0,8188.0,66.0
1788720632.440310,1.0,620.0,8188.0,66.0
1788720632.640506,1.0,620.0,8188.0,66.0
1788720632.840701,1.0,620.0,8188.0,66.0
1788720633.040896,0.0,620.0,8188.0,66.0
1788720633.241091,0.0,620.0,8188.0,66.0
1788720633.441295,0.0,620.0,8188.0,66.0
1788720633.641488,0.0,620.0,8188.0,66.0
1788720633.841698,0.0,620.0,8188.0,66.0
1788720634.041895,2.0,620.0,8188.0,66.0
1788720634.242090,2.0,620.0,8188.0,66.0
1788720634.442286,2.0,620.0,8188.0,66.0
1788720634.642488,2.0,620.0,8188.0,66.0
1788720634.842687,2.0,620.0,8188.0,66.0
1788720635.042882,2.0,620.0,8188.0,66.0
1788720635.243079,2.0,620.0,8188.0,66.0
1788720635.443277,2.0,620.0,8188.0,66.0
1788720635.643483,2.0,620.0,8188.0,66.0
1788720635.843683,2.0,620.0,8188.0,66.0
1788720636.043881,2.0,620.0,8188.0,66.0
1788720636.244075,2.0,622.0,8188.0,66.0
1788720636.444268,2.0,620.0,8188.0,66.0
1788720636.644469,2.0,620.0,8188.0,66.0
1788720636.844668,2.0,620.0,8188.0,66.0
1788720637.044692,4.0,620.0,8188.0,66.0
1788720637.244888,4.0,620.0,8188.0,66.0
1788720637.445080,4.0,620.0,8188.0,66.0
1788720637.645280,4.0,620.0,8188.0,66.0
1788720637.845474,4.0,620.0,8188.0,66.0
1788720638.045671,3.0,622.0,8188.0,66.0
1788720638.245692,3.0,620.0,8188.0,66.0
1788720638.445890,3.0,620.0,8188.0,66.0
1788720638.646083,3.0,620.0,8188.0,66.0
1788720638.846279,3.0,620.0,8188.0,66.0
1788720639.046472,1.0,620.0,8188.0,66.0
1788720639.246667,1.0,620.0,8188.0,66.0
1788720639.446696,1.0,620.0,8188.0,66.0
1788720639.646889,1.0,622.0,8188.0,66.0
1788720639.847086,1.0,620.0,8188.0,66.0
1788720640.047282,2.0,620.0,8188.0,66.0
1788720640.247478,2.0,620.0,8188.0,66.0
1788720640.447683,2.0,622.0,8188.0,66.0
1788720640.647877,2.0,622.0,8188.0,66.0
1788720640.848069,2.0,622.0,8188.0,66.0
1788720641.048263,1.0,622.0,8188.0,66.0
1788720641.248458,1.0,622.0,8188.0,66.0
1788720641.448651,1.0,686.0,8188.0,66.0
1788720641.648701,1.0,686.0,8188.0,66.0
1788720641.848906,1.0,786.0,8188.0,66.0
1788720642.049098,2.0,786.0,8188.0,66.0
1788720642.249295,2.0,786.0,8188.0,66.0
1788720642.449491,2.0,786.0,8188.0,66.0
1788720642.649694,2.0,786.0,8188.0,66.0
1788720642.849895,2.0,786.0,8188.0,66.0
1788720643.050097,3.0,786.0,8188.0,66.0
1788720643.250296,3.0,786.0,8188.0,66.0
1788720643.450489,3.0,786.0,8188.0,66.0
1788720643.650702,3.0,786.0,8188.0,66.0
1788720643.850897,3.0,786.0,8188.0,66.0
1788720644.051097,1.0,786.0,8188.0,66.0
1788720644.251291,1.0,786.0,8188.0,66.0
1788720644.451490,1.0,786.0,8188.0,66.0
1788720644.651689,1.0,786.0,8188.0,66.0
1788720644.851884,1.0,786.0,8188.0,66.0
1788720645.052081,3.0,786.0,8188.0,66.0
1788720645.252274,3.0,788.0,8188.0,66.0
1788720645.452474,3.0,786.0,8188.0,66.0
1788720645.652668,3.0,786.0,8188.0,66.0
1788720645.852690,3.0,786.0,8188.0,66.0
1788720646.052886,2.0,786.0,8188.0,66.0
1788720646.253079,2.0,786.0,8188.0,66.0
1788720646.453274,2.0,786.0,8188.0,66.0
1788720646.653469,2.0,786.0,8188.0,66.0
1788720646.853665,2.0,786.0,8188.0,66.0
1788720647.053694,1.0,786.0,8188.0,66.0
1788720647.253892,1.0,786.0,8188.0,66.0
1788720647.454088,1.0,786.0,8188.0,66.0
1788720647.654296,1.0,786.0,8188.0,66.0
1788720647.854489,1.0,786.0,8188.0,66.0
1788720648.054693,3.0,788.0,8188.0,66.0
1788720648.254891,3.0,786.0,8188.0,66.0
1788720648.455090,3.0,786.0,8188.0,66.0
1788720648.655297,3.0,786.0,8188.0,66.0
1788720648.855493,3.0,786.0,8188.0,66.0
1788720649.055687,2.0,786.0,8188.0,66.0
1788720649.255892,2.0,786.0,8188.0,66.0
1788720649.456087,2.0,786.0,8188.0,66.0
1788720649.656281,2.0,788.0,8188.0,66.0
1788720649.856481,2.0,786.0,8188.0,66.0
1788720650.056680,5.0,786.0,8188.0,66.0
1788720650.256876,5.0,788.0,8188.0,66.0
1788720650.457076,5.0,786.0,8188.0,66.0
1788720650.657253,5.0,786.0,8188.0,66.0
1788720650.857447,5.0,786.0,8188.0,66.0
1788720651.057643,1.0,788.0,8188.0,66.0
1788720651.257694,1.0,786.0,8188.0,66.0
1788720651.457887,1.0,786.0,8188.0,66.0
1788720651.658082,1.0,786.0,8188.0,66.0
1788720651.858286,1.0,788.0,8188.0,66.0
1788720652.058488,2.0,786.0,8188.0,66.0
1788720652.258690,2.0,786.0,8188.0,66.0
1788720652.458894,2.0,786.0,8188.0,66.0
1788720652.659090,2.0,786.0,8188.0,66.0
1788720652.859282,2.0,786.0,8188.0,66.0
1788720653.059474,4.0,820.0,8188.0,66.0
1788720653.259670,4.0,946.0,8188.0,66.0
1788720653.459872,4.0,948.0,8188.0,66.0
1788720653.660070,4.0,946.0,8188.0,66.0
1788720653.860264,4.0,946.0,8188.0,66.0
1788720654.060409,1.0,948.0,8188.0,66.0
1788720654.260531,1.0,946.0,8188.0,66.0
1788720654.460694,1.0,946.0,8188.0,66.0
1788720654.660891,1.0,946.0,8188.0,66.0
1788720654.861088,1.0,946.0,8188.0,66.0
1788720655.061279,5.0,948.0,8188.0,66.0
1788720655.261474,5.0,946.0,8188.0,66.0
1788720655.461667,5.0,946.0,8188.0,66.0
1788720655.661690,5.0,946.0,8188.0,66.0
1788720655.861885,5.0,946.0,8188.0,66.0
1788720656.062086,2.0,946.0,8188.0,66.0
1788720656.262282,2.0,946.0,8188.0,66.0
1788720656.462477,2.0,948.0,8188.0,66.0
1788720656.662592,2.0,946.0,8188.0,66.0
1788720656.862704,2.0,946.0,8188.0,66.0
1788720657.062911,1.0,946.0,8188.0,66.0
1788720657.263104,1.0,946.0,8188.0,66.0
1788720657.463300,1.0,946.0,8188.0,66.0
1788720657.663504,1.0,946.0,8188.0,66.0
1788720657.863692,1.0,946.0,8188.0,66.0
1788720658.063887,4.0,946.0,8188.0,66.0
1788720658.264083,4.0,946.0,8188.0,66.0
1788720658.464276,4.0,946.0,8188.0,66.0
1788720658.664473,4.0,946.0,8188.0,66.0
1788720658.864671,2.0,946.0,8188.0,66.0
1788720659.064690,2.0,946.0,8188.0,66.0
1788720659.264890,2.0,948.0,8188.0,66.0
